learning_beta,split,multi_head,learn_utility,learn_fairness,system_utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,env_name,env_name_mod,SI_beta,fairness_type,tag,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,phased_training,phase_length,observation_space
0.05,True,False,False,True,96.66,-58.58714023060973,0.0,25.2976875,1427.24625,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.05/7,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
0.05,True,False,False,True,98.08,-56.09565387664594,0.0,29.21024999999999,1377.395,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.05/6,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
0.05,True,False,False,True,96.22,-56.78179801999167,0.0,27.5611875,1373.17625,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.05/3,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
0.05,True,False,False,True,87.76,-45.677197106386345,0.0,36.648500000000006,1022.23,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.05/5,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
0.05,True,False,False,True,91.8,-54.14263193461982,0.0,29.077874999999995,1254.4425,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.05/2,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
0.05,True,False,False,True,86.04,-59.58451322377848,0.0,19.0205,1340.39,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.05/4,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
0.05,True,False,False,True,95.98,-65.69370595982524,0.0,15.328687499999994,1613.02625,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.05/1,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
0.05,True,False,False,True,94.52,-61.27910695093544,0.0,21.086875,1468.6625,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.05/9,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
0.05,True,False,False,True,89.84,-38.47107741765282,0.0,44.91287500000001,898.5425,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.05/10,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
0.05,True,False,False,True,83.6,-46.7648894538629,0.0,32.480999999999995,1022.38,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.05/8,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
0.2,True,False,False,True,96.04,-26.38222899955436,0.0,-31.17650000000001,636.0825,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.2/7,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
0.2,True,False,False,True,92.42,-17.251426871789615,0.2,12.855249999999996,397.82375,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.2/6,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
0.2,True,False,False,True,93.1,-21.548547127288916,0.0,-7.663750000000006,503.81875,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.2/3,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
0.2,True,False,False,True,76.16,-15.04113312714474,0.0,14.964999999999996,305.975,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.2/5,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
0.2,True,False,False,True,94.0,-21.7827753971434,0.0,-7.671500000000006,508.3575,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.2/2,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
0.2,True,False,False,True,95.58,-19.05333994348189,0.0,4.073249999999996,457.53375,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.2/4,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
0.2,True,False,False,True,96.02,-25.26075445368068,0.0,-25.663750000000004,608.41875,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.2/1,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
0.2,True,False,False,True,76.74,-21.102723313219503,0.0,-9.042750000000003,428.91375,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.2/9,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
0.2,True,False,False,True,97.16,-29.05037435946935,0.0,-44.71100000000001,709.355,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/0.2/8,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
10.0,True,False,False,True,0.0,0.0,0.0,0.0,0.0,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/10.0/7,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
10.0,True,False,False,True,46.5,-0.7275366232672819,9.26,-0.8375,4.73375,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/10.0/6,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
10.0,True,False,False,True,0.1,-0.0749700119952019,0.0,-0.0875,0.01875,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/10.0/3,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
10.0,True,False,False,True,0.06,-0.0449820071971211,0.0,-0.0525,0.01125,False,True,False,False,True,True,Job,,0,split_diff,,10.0,0.995,1000,100,False,logs/Job//Simple/split_diff/SplitNoUtility/10.0/5,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Job//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_job', 'grid', 'relative_util']"
