learning_beta,split,multi_head,learn_utility,learn_fairness,system_utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,env_name,env_name_mod,SI_beta,fairness_type,tag,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,phased_training,phase_length,observation_space
0.05,True,False,False,True,357.86,-50.820928771257165,0.0,265.04468999999995,1856.3062,False,True,False,False,False,True,Matthew,,0,split_diff,,5.0,0.995,1000,200,False,logs/Matthew///split_diff/SplitNoUtility/0.05/7,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Matthew//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
0.05,True,False,False,True,358.48,-53.64290559936122,0.0,260.648,1956.64,False,True,False,False,False,True,Matthew,,0,split_diff,,5.0,0.995,1000,200,False,logs/Matthew///split_diff/SplitNoUtility/0.05/10,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Matthew//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
0.2,True,False,False,True,253.08,-18.44138004101984,0.06,157.11848,479.8076,False,True,False,False,False,True,Matthew,,0,split_diff,,5.0,0.995,1000,200,False,logs/Matthew///split_diff/SplitNoUtility/0.2/6,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Matthew//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
0.2,True,False,False,True,274.94,-23.47986636620967,0.0,141.25043999999997,668.4478,False,True,False,False,False,True,Matthew,,0,split_diff,,5.0,0.995,1000,200,False,logs/Matthew///split_diff/SplitNoUtility/0.2/5,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Matthew//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
0.2,True,False,False,True,264.84,-22.710763474039155,0.04,140.70112,620.6944,False,True,False,False,False,True,Matthew,,0,split_diff,,5.0,0.995,1000,200,False,logs/Matthew///split_diff/SplitNoUtility/0.2/4,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Matthew//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
0.2,True,False,False,True,258.6,-22.7077605088569,0.0,136.286,611.57,False,True,False,False,False,True,Matthew,,0,split_diff,,5.0,0.995,1000,200,False,logs/Matthew///split_diff/SplitNoUtility/0.2/1,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Matthew//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
10.0,True,False,False,True,56.58,-0.088298802906048,4.6,51.718,0.4861999999999999,False,True,False,False,False,True,Matthew,,0,split_diff,,5.0,0.995,1000,200,False,logs/Matthew///split_diff/SplitNoUtility/10.0/4,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Matthew//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
10.0,True,False,False,True,54.12,-0.5381573505966292,2.98,26.072000000000003,2.8048,False,True,False,False,False,True,Matthew,,0,split_diff,,5.0,0.995,1000,200,False,logs/Matthew///split_diff/SplitNoUtility/10.0/10,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Matthew//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
5.0,True,False,False,True,94.64,-0.5339228058482409,5.36,71.00800000000001,4.726400000000001,False,True,False,False,False,True,Matthew,,0,split_diff,,5.0,0.995,1000,200,False,logs/Matthew///split_diff/SplitNoUtility/5.0/3,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Matthew//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
5.0,True,False,False,True,114.38,-0.3554493796079139,8.18,94.855,3.905,False,True,False,False,False,True,Matthew,,0,split_diff,,5.0,0.995,1000,200,False,logs/Matthew///split_diff/SplitNoUtility/5.0/5,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Matthew//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
