learning_beta,split,multi_head,learn_utility,learn_fairness,system_utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,env_name,env_name_mod,SI_beta,fairness_type,tag,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,phased_training,phase_length,observation_space
0.05,True,False,False,True,66.2,-1.1580595628955443,8.2,65.45567999999999,14.886400000000002,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.05/7,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.05,True,False,False,True,65.12,-1.203923014591375,8.22,64.33760000000001,15.648,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.05/6,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.05,True,False,False,True,66.28,-1.0705689375389091,8.54,65.57199999999999,14.16,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.05/3,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.05,True,False,False,True,65.7,-1.2444487257300172,8.32,64.89976,16.0048,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.05/5,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.05,True,False,False,True,65.28,-1.0147837440692768,8.34,64.63112,12.9776,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.05/2,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.05,True,False,False,True,66.2,-1.1158760745587633,8.5,65.47215999999999,14.5568,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.05/4,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.05,True,False,False,True,64.34,-1.1603840288153706,8.12,63.609840000000005,14.6032,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.05/1,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.05,True,False,False,True,64.7,-0.992447221894966,8.3,64.07712000000001,12.4576,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.05/9,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.05,True,False,False,True,64.92,-0.8140488995647708,8.74,64.39968,10.406399999999998,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.05/10,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.05,True,False,False,True,65.08,-1.0332888210366211,8.34,64.42200000000001,13.16,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.05/8,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.2,True,False,False,True,65.74,-0.9136294650132176,8.54,63.36976000000001,11.8512,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.2/7,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.2,True,False,False,True,65.04,-0.8713566183319496,8.82,62.77183999999999,11.340800000000002,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.2/6,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.2,True,False,False,True,65.42,-0.9965426901298468,8.52,62.86416,12.7792,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.2/3,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.2,True,False,False,True,66.16,-0.855727876632923,9.06,63.89664,11.3168,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.2/5,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.2,True,False,False,True,64.92,-0.9810728699984644,8.34,62.41984,12.5008,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.2/2,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.2,True,False,False,True,65.54,-0.8698765787845426,9.02,63.24816,11.4592,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.2/4,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.2,True,False,False,True,66.12,-0.9217247624063752,8.82,63.67871999999999,12.2064,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.2/1,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.2,True,False,False,True,64.58,-1.0862241576888847,8.1,61.87856,13.507199999999996,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.2/9,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.2,True,False,False,True,63.58,-1.2934435580619503,7.68,60.45103999999999,15.6448,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.2/10,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
0.2,True,False,False,True,65.36,-1.0546614099177314,8.5,62.63455999999999,13.627199999999998,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/0.2/8,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
10.0,True,False,False,True,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/10.0/7,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
10.0,True,False,False,True,44.14,-0.3464306778128992,6.6,15.82,2.8319999999999994,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/10.0/6,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
10.0,True,False,False,True,45.38,-0.2620289986852092,7.1,21.796000000000003,2.3584,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/10.0/3,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
10.0,True,False,False,True,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/10.0/5,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
10.0,True,False,False,True,45.5,-0.436323179633398,6.56,8.22,3.728,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/10.0/2,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
10.0,True,False,False,True,24.86,-0.766758067008774,3.26,0.044,2.4816,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/10.0/4,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
10.0,True,False,False,True,50.36,-0.2889036138053462,7.88,21.592,2.8768,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/10.0/1,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
10.0,True,False,False,True,42.48,-0.2106188981417441,6.68,24.144,1.8336,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/10.0/9,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
10.0,True,False,False,True,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/10.0/10,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
10.0,True,False,False,True,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/10.0/8,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
5.0,True,False,False,True,53.46,-0.3012636608856456,8.28,37.292,3.233600000000001,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/5.0/7,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
5.0,True,False,False,True,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/5.0/6,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
5.0,True,False,False,True,54.74,-0.3459060541399459,8.34,35.788,3.7904,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/5.0/3,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
5.0,True,False,False,True,56.46,-0.3661355664493591,8.72,35.83599999999999,4.1248000000000005,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/5.0/5,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
5.0,True,False,False,True,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/5.0/2,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
5.0,True,False,False,True,54.32,-0.3081288614354917,8.6,37.224,3.4192,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/5.0/4,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
5.0,True,False,False,True,54.36,-0.3002829043833887,8.5,37.688,3.3344,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/5.0/1,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
5.0,True,False,False,True,51.1,-0.2839670981620831,8.02,36.748000000000005,2.870400000000001,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/5.0/9,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
5.0,True,False,False,True,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/5.0/10,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
5.0,True,False,False,True,52.9,-0.3108213269873159,8.34,36.412,3.2976,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/5.0/8,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
2.0,True,False,False,True,57.68,-0.4834587717026734,8.58,46.2496,5.715199999999999,False,True,False,False,False,True,Plant,,0,split_diff,,3.0,0.995,1000,100,False,logs/Plant///split_diff/SplitNoUtility/2.0/7,20,0.0003,250000,50,20,200,10,50,0.98,,logs/Plant//split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['relative_util', 'requirements', 'posessions', 'target']"
