learning_beta,split,multi_head,learn_utility,learn_fairness,system_utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,env_name,env_name_mod,SI_beta,fairness_type,tag,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,phased_training,phase_length,observation_space
10.0,True,False,False,True,84.39999999999989,-0.7996001999000503,0.0,82.7999999999999,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/10.0/7,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
10.0,True,False,False,True,100.0,-0.7996001999000503,0.0,98.39999999999998,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/10.0/6,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
10.0,True,False,False,True,100.0,-0.7996001999000503,0.0,98.39999999999998,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/10.0/3,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
10.0,True,False,False,True,100.0,-0.7996001999000503,0.0,98.39999999999998,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/10.0/5,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
10.0,True,False,False,True,78.99999999999987,-0.7216391804097952,0.01,77.55599999999987,0.1444,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/10.0/2,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
10.0,True,False,False,True,100.0,-0.7996001999000503,0.0,98.39999999999998,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/10.0/4,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
10.0,True,False,False,True,92.0,-0.496151924037981,0.03,91.0072,0.09928,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/10.0/1,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
10.0,True,False,False,True,96.60000000000002,-0.6482758620689654,0.0,95.3028,0.12972,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/10.0/9,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
10.0,True,False,False,True,99.60000000000002,-0.7604197901049475,0.0,98.0784,0.15216,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/10.0/10,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
10.0,True,False,False,True,100.0,-0.7996001999000503,0.0,98.39999999999998,0.16,False,True,False,False,True,True,WarmStart,,0,split_diff,,10.0,0.995,200,100,False,logs/WarmStart//Simple/split_diff/SplitNoUtility/10.0/8,20,0.0003,250000,50,20,50,10,20,0.98,,logs/WarmStart//Simple/split_diff/Joint/0.0/1/models/best/best_model.ckpt,,False,200,"['util', 'agent_score', 'disc_resource_rate', 'relative_util', 'about_to_get_resource']"
