system_utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,env_name,env_name_mod,SI_beta,learning_beta,fairness_type,tag,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,split,learn_fairness,learn_utility,multi_head,phased_training,phase_length,observation_space
98.94,-74.20470000121297,0.0,98.94,1835.64375,False,True,False,False,True,True,Job,,0,0.0,split_diff,,10.0,0.995,1000,100,False,Job//Simple/split_diff/Joint/0.0/1711468904,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.9,-74.17470000121347,0.0,98.9,1834.15125,False,True,False,False,True,True,Job,,0,0.0,split_diff,,10.0,0.995,1000,100,False,Job//Simple/split_diff/MultiHead/0.0/1711468910,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['relative_job', 'grid', 'relative_util']"
98.94,-74.20470000121297,0.0,80.5835625,1835.64375,False,True,False,False,True,True,Job,,0,0.01,split_diff,,10.0,0.995,1000,100,False,Job//Simple/split_diff/Joint/0.01/1711471667,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
96.92,-68.14210005616997,0.0,80.36522500000001,1655.4775,False,True,False,False,True,True,Job,,0,0.01,split_diff,,10.0,0.995,1000,100,False,Job//Simple/split_diff/MultiHead/0.01/1711473073,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['relative_job', 'grid', 'relative_util']"
97.9,-71.23084593211283,0.0,62.964974999999995,1746.75125,False,True,False,False,True,True,Job,,0,0.02,split_diff,,10.0,0.995,1000,100,False,Job//Simple/split_diff/Joint/0.02/1711474469,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.68,-66.95491580005756,0.0,16.021749999999994,1653.165,False,True,False,False,True,True,Job,,0,0.05,split_diff,,10.0,0.995,1000,100,False,Job//Simple/split_diff/Joint/0.05/1711477174,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.54,-72.55662481306638,0.0,62.76282499999999,1788.85875,False,True,False,False,True,True,Job,,0,0.02,split_diff,,10.0,0.995,1000,100,False,Job//Simple/split_diff/MultiHead/0.02/1711477077,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['relative_job', 'grid', 'relative_util']"
98.02,-40.03410809714214,0.0,-0.44012500000000515,984.60125,False,True,False,False,True,True,Job,,0,0.1,split_diff,,10.0,0.995,1000,100,False,Job//Simple/split_diff/Joint/0.1/1711479745,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.9,-74.17470000121347,0.0,7.192437499999996,1834.15125,False,True,False,False,True,True,Job,,0,0.05,split_diff,,10.0,0.995,1000,100,False,Job//Simple/split_diff/MultiHead/0.05/1711480914,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['relative_job', 'grid', 'relative_util']"
96.14,-9.662135241844114,1.88,49.68375,232.28125,False,True,False,False,True,True,Job,,0,0.2,split_diff,,10.0,0.995,1000,100,False,Job//Simple/split_diff/Joint/0.2/1711482306,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
