system_utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,env_name,env_name_mod,SI_beta,learning_beta,fairness_type,tag,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,split,learn_fairness,learn_utility,multi_head,phased_training,phase_length,observation_space
133.52,-1.005905875602756,6.36,126.97840000000001,13.0832,False,True,False,False,False,True,Matthew,WS5,0,0.5,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/Joint/0.5/1712098863,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
207.7,-0.5052948983590483,14.76,202.6369,10.1262,False,True,False,False,False,True,Matthew,WS5,0,0.5,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/Joint/0.5/1712098875,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
145.42,-0.892765625890273,7.44,139.1031,12.6338,False,True,False,False,False,True,Matthew,WS5,0,0.5,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/MultiHead/0.5/1712098924,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
319.12,-59.270477336076794,0.02,319.12,1918.2939999999999,False,True,False,False,False,True,Matthew,WS5,0,0.0,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/MultiHead/0.0/1712098933,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
135.84,-0.07322517334434328,11.96,134.91279999999998,0.9272,False,True,False,False,False,True,Matthew,WS5,0,1.0,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/Joint/1.0/1712101659,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
215.52,-0.12311132097575057,19.16,213.0816,2.4384,False,True,False,False,False,True,Matthew,WS5,0,1.0,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/Joint/1.0/1712101751,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
116.18,-0.20640330254824626,8.98,113.90460000000002,2.2754,False,True,False,False,False,True,Matthew,WS5,0,1.0,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/MultiHead/1.0/1712102847,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
110.42,-0.5471933133327769,7.32,96.67080000000001,6.8746,False,True,False,False,False,True,Matthew,WS5,0,2.0,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/Joint/2.0/1712104260,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
89.52,-0.24783056486044558,6.42,84.73120000000003,2.3943999999999996,False,True,False,False,False,True,Matthew,WS5,0,2.0,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/Joint/2.0/1712104731,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
358.84,-75.89659623940204,0.02,331.487384,2735.2616000000003,False,True,False,False,False,True,Matthew,WS5,0,0.01,split_diff,200step_1000ep,5.0,0.995,1000,200,False,MatthewWS5/200step_1000ep//split_diff/MultiHead/0.01/1712103709,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
