system_utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,env_name,env_name_mod,SI_beta,learning_beta,fairness_type,tag,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,split,learn_fairness,learn_utility,multi_head,phased_training,phase_length,observation_space
316.12,-63.86826477489993,0.04,316.12,2058.026,False,True,False,False,False,True,Matthew,,0,0.0,split_diff,200step_1000ep,50.0,0.995,1000,200,False,Matthew/200step_1000ep//split_diff/Joint/0.0/1711469654,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
329.84,-65.36383334824569,0.42,329.84,2237.1512000000002,False,True,False,False,False,True,Matthew,,0,0.0,split_diff,200step_1000ep,50.0,0.995,1000,200,False,Matthew/200step_1000ep//split_diff/MultiHead/0.0/1711469687,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
105.74,-10.123393671194487,0.64,104.35638599999999,138.3614,False,True,False,False,False,True,Matthew,,0,0.01,split_diff,200step_1000ep,50.0,0.995,1000,200,False,Matthew/200step_1000ep//split_diff/Joint/0.01/1711475842,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
229.32,-26.45158309319757,0.66,216.37009600000002,647.4952,False,True,False,False,False,True,Matthew,,0,0.02,split_diff,200step_1000ep,50.0,0.995,1000,200,False,Matthew/200step_1000ep//split_diff/Joint/0.02/1711481125,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
360.66,-77.17086003924953,0.0,332.673562,2798.6438,False,True,False,False,False,True,Matthew,,0,0.01,split_diff,200step_1000ep,50.0,0.995,1000,200,False,Matthew/200step_1000ep//split_diff/MultiHead/0.01/1711478680,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
275.78,-38.370694175644154,1.28,218.72615000000002,1141.0770000000002,False,True,False,False,False,True,Matthew,,0,0.05,split_diff,200step_1000ep,50.0,0.995,1000,200,False,Matthew/200step_1000ep//split_diff/Joint/0.05/1711486955,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
104.68,-7.720098934964845,0.3,103.06268,80.866,False,True,False,False,False,True,Matthew,,0,0.02,split_diff,200step_1000ep,50.0,0.995,1000,200,False,Matthew/200step_1000ep//split_diff/MultiHead/0.02/1711487203,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
292.04,-7.850055284261303,7.42,268.75516,232.8484,False,True,False,False,False,True,Matthew,,0,0.1,split_diff,200step_1000ep,50.0,0.995,1000,200,False,Matthew/200step_1000ep//split_diff/Joint/0.1/1711493134,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
333.58,-44.29300833810722,0.7,258.65777,1498.4445999999998,False,True,False,False,False,True,Matthew,,0,0.05,split_diff,200step_1000ep,50.0,0.995,1000,200,False,Matthew/200step_1000ep//split_diff/MultiHead/0.05/1711495499,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
240.36,-7.287166232344692,4.4,203.87591999999998,182.42040000000006,False,True,False,False,False,True,Matthew,,0,0.2,split_diff,200step_1000ep,50.0,0.995,1000,200,False,Matthew/200step_1000ep//split_diff/Joint/0.2/1711499179,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'size', 'speed', 'eaten', 'n_other_free_agents', 'relative_size', 'relative_su', 'other_agents', 'target_resource']"
