,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1159.34,-167.5291005313328,0.08,1159.34,19686.0078,0.0,0.0
1,1159.34,-241.81090082332804,0.0,1131.0178802,28322.119800000004,0.001,0.001
2,885.34,-66.26771574031069,3.24,817.24049,6809.951,0.01,0.01
3,988.68,-125.43900579453378,2.56,344.48562,12883.8876,0.04999999999999999,0.04999999999999999
4,1006.7,-106.98035447042224,3.26,-82.06394000000006,10887.639400000002,0.09999999999999998,0.09999999999999998
5,821.1,-8.36281523276109,35.6,676.90532,720.9734000000001,0.19999999999999996,0.19999999999999996
6,305.96,-1.5823454066802696,21.76,282.4907999999999,46.938399999999994,0.5,0.5
7,962.72,-7.257680214086506,67.42,478.36648,691.9336,0.7000000000000002,0.7000000000000002
8,878.34,-3.35553832625901,72.46,548.6998,329.64020000000005,1.0,1.0
9,815.78,-1.5186065405360492,66.16,565.0212,125.3794,2.0,2.0
10,1048.26,-0.1708477781488347,96.5,960.2370000000001,17.6046,5.0,5.0
11,912.32,-0.1322348351238187,86.76,814.3800000000001,9.794,10.0,10.0
