,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1261.38,-281.20449796963715,0.0,1261.38,35482.8402,0.0,0.0
1,1253.42,-290.7202219630931,0.0,1216.9699238,36450.076199999996,0.001,0.001
2,1174.9,-193.80245939381493,0.0,941.9973659999999,23290.2634,0.01,0.01
3,964.2,-28.623352579070925,46.1,820.57954,2872.4092,0.04999999999999999,0.04999999999999999
4,927.2,-8.730990931605803,81.44,845.09052,821.0948,0.09999999999999998,0.09999999999999998
5,813.4,-6.895040453732183,41.92,691.31736,610.4132,0.19999999999999996,0.19999999999999996
6,955.5,-9.615393524211694,61.96,491.5347,927.9305999999998,0.5,0.5
7,989.62,-1.8147396390831654,82.46,864.1485000000002,179.24499999999998,0.7000000000000002,0.7000000000000002
8,1087.38,-0.10175036459568242,105.8,1076.2838,11.0962,1.0,1.0
9,1110.12,-0.04056097796740856,108.52,1101.2272000000003,4.4464,2.0,2.0
10,1058.14,-0.013078837759140552,104.56,1051.4630000000002,1.3354,5.0,5.0
11,1027.76,-0.03940011579658755,99.54,988.4680000000001,3.9292,10.0,10.0
