,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1234.34,-264.8316561773781,0.0,1234.34,32728.795400000006,0.0,0.0
1,1249.68,-221.3448803148693,0.1,972.7686200000003,27691.138000000003,0.01,0.01
2,1111.32,-1.7363780274811993,95.86,1101.6611799999998,193.17640000000003,0.04999999999999999,0.04999999999999999
3,1108.08,-1.6136239458868755,101.08,1090.16324,179.1676,0.09999999999999998,0.09999999999999998
4,1143.64,-0.13741608581604214,108.92,1140.58144,15.2928,0.19999999999999996,0.19999999999999996
5,1125.44,-0.0085473571916704,110.9,1124.9636,0.9528,0.5,0.5
6,1105.32,-0.04369973132835758,106.12,1101.97064,4.7848,0.7000000000000002,0.7000000000000002
7,1085.72,-0.05190367791813142,104.98,1080.1548,5.565200000000001,1.0,1.0
8,980.16,-0.016321236251905957,95.64,977.0168000000002,1.5715999999999999,2.0,2.0
9,759.4,-0.03826102486223555,73.36,744.8220000000001,2.9155999999999995,5.0,5.0
10,525.3,-0.021131747673291686,50.96,514.6619999999999,1.0637999999999999,10.0,10.0
