,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1254.6,-285.5981912144375,0.0,1254.6,35843.371999999996,0.0,0.0
1,1258.14,-283.95422489251564,0.06,1222.3989362,35741.063799999996,0.001,0.001
2,1260.06,-283.95829419085584,0.0,902.2598980000001,35780.0102,0.01,0.01
3,1213.88,-272.85592418664396,0.36,-451.0910600000001,33299.421200000004,0.04999999999999999,0.04999999999999999
4,1138.44,-228.8210799065445,1.28,-1537.7683600000005,26762.083599999998,0.09999999999999998,0.09999999999999998
5,777.98,-89.35878872027693,19.94,-684.0409200000001,7310.104600000001,0.19999999999999996,0.19999999999999996
6,792.76,-35.03332460155896,34.74,-651.3838,2888.2876,0.5,0.5
7,812.74,-10.760953191545921,60.6,191.79282000000006,887.0674,0.7000000000000002,0.7000000000000002
8,815.24,-6.101153252362667,64.52,309.5308,505.7092,1.0,1.0
9,758.88,-2.126479047440484,63.6,435.58080000000007,161.64960000000002,2.0,2.0
10,887.96,-0.8662587595122764,77.6,504.444,76.70320000000001,5.0,5.0
11,724.78,-0.8451655525533002,57.18,116.41799999999999,60.8362,10.0,10.0
