,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1254.6,-285.5981912144375,0.0,1254.6,35843.371999999996,0.0,0.0
1,1259.04,-286.78224334245994,0.0,1222.9292096,36110.79040000001,0.001,0.001
2,1256.2,-282.8727462388199,0.0,900.5812080000001,35561.879199999996,0.01,0.01
3,1164.14,-252.73219405536236,0.2,-325.44671000000017,29791.734200000003,0.04999999999999999,0.04999999999999999
4,1132.64,-235.82733276955284,1.08,-1598.2578399999998,27308.9784,0.09999999999999998,0.09999999999999998
5,801.14,-85.39289862492242,12.16,-649.6564400000001,7253.9821999999995,0.19999999999999996,0.19999999999999996
6,737.38,-26.116723812835918,33.22,-211.8259,1898.4117999999999,0.5,0.5
7,756.16,-6.79684189434786,55.84,397.06951999999995,512.9864,0.7000000000000002,0.7000000000000002
8,728.5,-1.7058318411764666,62.24,606.2206,122.27940000000001,1.0,1.0
9,687.04,-0.05731997047957716,66.62,679.492,3.773999999999999,2.0,2.0
10,742.82,-0.002976064401781938,73.7,741.7209999999999,0.2198,5.0,5.0
11,868.36,-0.0037967627648839517,86.0,865.2360000000001,0.31239999999999996,10.0,10.0
