,utility,fairness,min_utility,objective,variance,beta,base_beta
0,992.72,-150.60634668373558,1.16,992.72,16286.2968,0.0,0.0
1,1231.74,-240.99746374190627,0.0,1202.040211,29699.789,0.001,0.001
2,1253.68,-272.8219592000411,0.0,911.4693840000001,34221.0616,0.01,0.01
3,1121.28,-223.57262215351696,0.78,-156.95924000000008,25564.784799999994,0.04999999999999999,0.04999999999999999
4,1097.1,-154.2440986404794,2.1,-702.7560200000001,17998.5602,0.09999999999999998,0.09999999999999998
5,899.68,-123.25340808584184,11.9,-1353.33432,11265.0716,0.19999999999999996,0.19999999999999996
6,835.44,-27.351299398970063,46.5,-281.52139999999997,2233.9228,0.5,0.5
7,855.98,-12.94919334903984,57.82,80.62570000000004,1107.6490000000001,0.7000000000000002,0.7000000000000002
8,901.72,-2.698365858660638,75.76,661.8896,239.8304,1.0,1.0
9,749.4,-10.76204263774145,48.5,-867.9592,808.6796,2.0,2.0
10,828.16,-1.4261784610840191,69.96,238.226,117.98679999999999,5.0,5.0
11,763.16,-1.9400620541847327,60.12,-702.6240000000001,146.5784,10.0,10.0
