,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1254.6,-285.5981912144375,0.0,1254.6,35843.371999999996,0.0,0.0
1,1262.32,-196.68599973258227,0.0,1237.4863328,24833.667199999996,0.001,0.001
2,1206.9,-238.39268126477782,0.12,917.33829,28956.170999999995,0.01,0.01
3,1135.92,-245.41601398789763,0.34,-289.0252200000001,28498.9044,0.04999999999999999,0.04999999999999999
4,1149.7,-210.7394975384177,0.5,-1363.41274,25131.127399999998,0.09999999999999998,0.09999999999999998
5,894.64,-129.60840386744837,8.36,-1573.7893600000004,12342.146800000002,0.19999999999999996,0.19999999999999996
6,1086.86,-0.7115514514115486,98.42,1048.0783000000001,77.56340000000002,0.5,0.5
7,1041.02,-0.28020079897558237,98.9,1020.3987,29.458999999999996,0.7000000000000002,0.7000000000000002
8,850.26,-0.32609464988327447,76.7,824.2477999999999,26.012200000000004,1.0,1.0
9,1041.06,-0.0051365048452256135,103.08,1039.9971999999998,0.5314,2.0,2.0
10,842.74,-0.008116977160543194,83.22,839.023,0.7433999999999998,5.0,5.0
11,798.1,-0.009199867287749847,79.02,794.3539999999999,0.37459999999999993,10.0,10.0
