,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1254.6,-285.5981912144375,0.0,1254.6,35843.371999999996,0.0,0.0
1,1255.64,-287.16154355694516,0.0,1219.5737812000002,36066.2188,0.001,0.001
2,1253.86,-286.77670939160413,0.0,894.193962,35966.603800000004,0.01,0.01
3,1257.9,-283.94737866550923,0.0,-528.62769,35730.5538,0.04999999999999999,0.04999999999999999
4,1256.22,-284.2633419688221,0.02,-2315.75742,35719.7742,0.09999999999999998,0.09999999999999998
5,1215.98,-270.24799739685426,0.36,-5416.7833200000005,33163.8166,0.19999999999999996,0.19999999999999996
6,840.08,-145.41843056082524,4.24,-6400.569199999999,14481.298399999998,0.5,0.5
7,778.5,-144.0864353108452,3.36,-8425.2631,13148.233,0.7000000000000002,0.7000000000000002
8,809.84,-122.97147702896568,2.04,-9574.510000000002,10384.349999999999,1.0,1.0
9,594.22,-60.36001275792916,15.66,-7439.655600000001,4016.9378,2.0,2.0
10,498.42,-29.15824153389763,22.88,-7663.943,1632.4726,5.0,5.0
11,714.2,-3.1894877290850325,58.96,-1230.348,194.4548,10.0,10.0
