,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1254.6,-285.5981912144375,0.0,1254.6,35843.371999999996,0.0,0.0
1,1255.64,-286.04004800782263,0.0,1219.7150204,35924.979600000006,0.001,0.001
2,1254.38,-283.52896479924453,0.0,898.5807779999999,35579.9222,0.01,0.01
3,1261.2,-286.26262127193013,0.0,-544.56244,36115.2488,0.04999999999999999,0.04999999999999999
4,1260.22,-284.7242500846425,0.02,-2328.3393,35885.593,0.09999999999999998,0.09999999999999998
5,1189.14,-266.7358464476728,0.02,-5228.4306,32087.853000000003,0.19999999999999996,0.19999999999999996
6,1140.62,-247.00491792909804,0.88,-13367.3087,29015.857399999997,0.5,0.5
7,847.74,-163.49107740599362,1.82,-9606.12566,14934.0938,0.7000000000000002,0.7000000000000002
8,871.46,-130.5638640780289,5.12,-11070.2698,11941.7298,1.0,1.0
9,581.32,-48.69003376968418,8.66,-5122.8984,2852.1092000000003,2.0,2.0
10,739.7,-29.56863214840188,45.12,-14012.749000000002,2950.4898,5.0,5.0
11,553.96,-51.65149097961431,22.22,-48759.00800000001,4931.2968,10.0,10.0
