,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1198.92,-194.53618006062334,5.16,1198.92,23806.711599999995,0.0,0.0
1,1237.72,-239.3414797805409,0.0,1208.0829471999998,29637.052799999998,0.001,0.001
2,1128.04,-190.98073479082143,1.8,906.5865640000001,22145.343600000004,0.01,0.01
3,1081.32,-176.17242782219944,1.3,88.86993999999996,19849.0012,0.04999999999999999,0.04999999999999999
4,1076.12,-208.5930727085669,0.94,-1306.63216,23827.5216,0.09999999999999998,0.09999999999999998
5,998.26,-186.78615049588868,1.28,-2808.2196400000003,19032.398200000003,0.19999999999999996,0.19999999999999996
6,833.6,-140.08926558066952,3.76,-5486.0262,12639.252399999998,0.5,0.5
7,604.68,-78.55862874163455,6.1,-3259.9878,5520.954000000001,0.7000000000000002,0.7000000000000002
8,712.84,-91.72582815795046,4.12,-5917.553999999999,6630.393999999999,1.0,1.0
9,614.58,-57.99975878445325,18.92,-8436.689999999999,4525.634999999999,2.0,2.0
10,628.56,-64.9637137955459,19.32,-19838.31,4093.374,5.0,5.0
11,774.44,-1.6209849602273092,67.04,-273.4959999999999,104.79359999999998,10.0,10.0
