,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1258.68,-281.4469490832684,0.0,1258.68,35418.4156,0.0,0.0
1,1250.7,-257.63964588188713,0.0,1218.2663802000002,32433.6198,0.001,0.001
2,1240.78,-210.95020499572772,0.0,978.8844579999999,26189.5542,0.01,0.01
3,1015.94,-165.95857396308355,0.34,148.43332999999996,17350.133399999995,0.04999999999999999,0.04999999999999999
4,752.18,-68.45137678416441,13.88,230.44101999999995,5217.3898,0.09999999999999998,0.09999999999999998
5,868.62,-88.27873025745787,2.92,-750.43964,8095.298199999999,0.19999999999999996,0.19999999999999996
6,714.82,-44.695208861603525,21.04,-1042.6069,3514.8538,0.5,0.5
7,689.48,-129.7786367801034,3.34,-6280.36848,9956.9264,0.7000000000000002,0.7000000000000002
8,1067.18,-209.82197870040164,0.22,-21716.915800000002,22784.0958,1.0,1.0
9,959.6,-0.10939206206906063,92.56,937.92,10.84,2.0,2.0
10,975.46,-0.018422258434760808,96.16,970.6369999999998,0.9646000000000001,5.0,5.0
11,927.16,-0.004117975489938719,91.84,923.3960000000001,0.3764,10.0,10.0
