,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1234.34,-264.8316561773781,0.0,1234.34,32728.795400000006,0.0,0.0
1,1233.82,-262.7454339614042,0.0,1201.3546901999998,32465.3098,0.001,0.0
2,1225.02,-264.0578894495929,0.04,1160.1115692000003,32454.215399999997,0.002,0.0
3,1214.32,-258.78541505457434,0.08,1119.7087072000002,31537.0976,0.003,0.0
4,1213.24,-251.4981386286667,0.04,1090.7943344,30611.416400000006,0.004,0.0
5,1204.1,-234.74095929677466,0.12,1062.546369,28310.726199999997,0.005,0.0
6,1188.94,-230.71903060589716,0.18,1023.6105003999999,27554.916599999997,0.006,0.0
7,1187.54,-225.8852571840955,0.2,998.8431629999999,26956.691000000006,0.007000000000000001,0.0
8,1135.84,-212.00124488261474,0.54,941.3228736,24314.640799999997,0.008,0.0
9,1130.38,-217.27584870276954,0.62,905.6399289999999,24971.119,0.009000000000000001,0.0
10,1126.94,-212.78327425907216,0.5,883.45305,24348.695000000003,0.01,0.0
11,632.92,-90.96634676972461,7.94,491.99548799999997,7046.225600000002,0.02,0.0
12,375.82,-35.406607992299946,8.26,335.123074,1356.5642,0.03,0.0
13,317.1,-23.80674068406624,8.56,287.271576,745.7106000000001,0.04,0.0
14,302.24,-15.660598317581695,12.0,279.04596000000004,463.8808,0.04999999999999999,0.0
15,294.84,-11.351936458038503,14.94,275.58148800000004,320.97520000000003,0.06,0.0
16,295.74,-5.876155848245372,20.16,284.77457000000004,156.649,0.07,0.0
17,285.86,-2.570492038689178,22.6,280.74635199999994,63.92060000000001,0.08,0.0
18,271.4,-1.742701404738758,21.9,267.82664,39.70399999999999,0.08999999999999998,0.0
19,274.52,-0.6120182906773954,24.0,273.09087999999997,14.291200000000002,0.09999999999999998,0.0
20,256.38,-0.0979397121864466,23.62,255.93899999999996,2.205,0.19999999999999996,0.0
21,272.7,-0.050317361003889685,25.38,272.28594,1.3802000000000003,0.30000000000000004,0.0
22,274.8,-0.0603149948156924,25.26,274.1328,1.668,0.3999999999999999,0.0
23,260.3,-0.0985387176847966,23.32,259.04150000000004,2.5170000000000003,0.5,0.0
24,238.96,-0.1889960151939265,20.58,236.41552,4.2408,0.6000000000000001,0.0
25,232.26,-0.2556805719045771,19.58,228.3211,5.627000000000001,0.7000000000000002,0.0
26,225.46,-0.33755288267452016,18.62,219.53311999999997,7.4086,0.7999999999999998,0.0
27,221.28,-0.3834119149793731,18.24,213.88451999999998,8.2172,0.9,0.0
28,198.46,-0.4896490255422993,16.12,189.153,9.306999999999999,1.0,0.0
29,177.38,-0.8661527586579608,13.84,145.2948,16.042600000000004,2.0,0.0
30,127.62,-0.8079880500745615,9.84,66.493,12.2254,5.0,0.0
31,118.62,-0.6071529321378554,8.92,35.046,8.3574,10.0,0.0
32,1251.28,-238.09695303301254,0.02,1251.28,29796.7272,0.0,0.01
33,1251.16,-235.61977499614898,0.0,1221.6687676000001,29491.232399999997,0.001,0.01
34,1255.1,-233.44121103553599,0.0,1196.4609764,29319.5118,0.002,0.01
35,1247.34,-235.99465960609083,0.0,1158.9862398,29451.253399999998,0.003,0.01
36,1247.58,-233.94770043420846,0.08,1130.7531496000001,29206.7126,0.004,0.01
37,1244.9,-232.20041040371393,0.1,1100.281041,28923.791799999995,0.005,0.01
38,1242.34,-227.90147369687423,0.12,1072.379242,28326.793,0.006,0.01
39,1244.76,-231.48508818135227,0.06,1042.9777564,28826.0348,0.007000000000000001,0.01
40,1247.16,-225.7265690440968,0.08,1021.7521824,28175.9772,0.008,0.01
41,1238.22,-221.72754682651578,0.04,990.8790174000001,27482.331400000003,0.009000000000000001,0.01
42,1255.46,-219.39110546991975,0.08,979.88017,27557.982999999997,0.01,0.01
43,1226.32,-199.13152092104468,0.7,737.408464,24445.576800000003,0.02,0.01
44,1213.42,-184.87093888409734,1.7,539.696278,22457.4574,0.03,0.01
45,1209.6,-171.22954887196104,1.02,380.647712,20723.807200000003,0.04,0.01
46,1088.08,-117.23108653867725,16.12,447.66435999999993,12808.3128,0.04999999999999999,0.01
47,950.6,-49.79815910103734,39.68,665.717096,4748.048400000001,0.06,0.01
