,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1254.6,-285.5981912144375,0.0,1254.6,35843.371999999996,0.0,0.0
1,1253.68,-285.2941542834069,0.0,1217.9037976,35776.202399999995,0.001,0.0
2,1256.68,-284.9613287862563,0.0,1185.0430999999999,35818.45,0.002,0.0
3,1253.06,-285.26827762042683,0.02,1145.7666542,35764.4486,0.003,0.0
4,1259.42,-287.8385185464642,0.0,1114.3874744,36258.1314,0.004,0.0
5,1258.78,-284.7229790879656,0.0,1079.550765,35845.847,0.005,0.0
6,1259.36,-284.58276466800083,0.0,1044.2589752,35850.17080000001,0.006,0.0
7,1254.08,-282.8469197268152,0.0,1005.738732,35477.324,0.007000000000000001,0.0
8,1250.38,-280.78977963204676,0.0,969.4404560000002,35117.443,0.008,0.0
9,1256.96,-283.42678746421694,0.0,936.3015451999999,35628.7172,0.009000000000000001,0.0
10,1254.56,-286.7673482094573,0.0,894.6548720000001,35990.512800000004,0.01,0.0
11,1247.22,-281.7679744374997,0.04,543.9930280000001,35161.3486,0.02,0.0
12,1249.32,-281.52702216717523,0.0,192.567684,35225.0772,0.03,0.0
13,1225.92,-278.0812006435078,0.06,-141.89270400000004,34195.3176,0.04,0.0
14,1217.0,-270.5154789137896,0.12,-435.71848000000006,33054.3696,0.04999999999999999,0.0
15,1205.16,-260.05514107454076,0.32,-686.2350960000002,31523.251599999996,0.06,0.0
16,1192.54,-255.55737480933723,0.28,-955.9283220000002,30692.404599999998,0.07,0.0
17,1156.82,-227.52598994168528,0.68,-987.3413600000002,26802.017000000007,0.08,0.0
18,1118.28,-220.15229296666624,0.76,-1122.874224,24901.713600000003,0.08999999999999998,0.0
19,1101.6,-209.3286556338324,1.26,-1259.03816,23606.3816,0.09999999999999998,0.0
20,940.5,-138.4843942710327,7.44,-1883.0993200000003,14117.996600000002,0.19999999999999996,0.0
21,752.08,-76.63720214848463,14.9,-1044.5116400000004,5988.6388,0.30000000000000004,0.0
22,635.44,-55.34007447458087,15.56,-774.5667200000003,3525.0168,0.3999999999999999,0.0
23,607.68,-43.17842266725951,19.06,-695.5166,2606.3932,0.5,0.0
24,601.5,-42.17891702451321,18.9,-922.2565200000004,2539.5942,0.6000000000000001,0.0
25,602.88,-42.03227759607012,19.12,-1183.9786400000003,2552.6551999999997,0.7000000000000002,0.0
26,583.38,-40.536524484535796,18.54,-1322.60544,2382.4818,0.7999999999999998,0.0
27,599.74,-41.40614601710112,19.34,-1654.19606,2504.3733999999995,0.9,0.0
28,565.68,-38.64351832223721,18.3,-1628.4448000000004,2194.1248,1.0,0.0
29,496.48,-33.03009029948725,16.28,-2787.6856,1642.0828,2.0,0.0
30,579.98,-12.59396946847133,42.6,-2064.155,528.827,5.0,0.0
31,643.38,-2.4565588564858287,59.68,-357.7859999999999,100.1166,10.0,0.0
32,1256.46,-280.37035726794426,0.0,1256.46,35240.099,0.0,0.001
33,1259.02,-287.5183588299774,0.0,1222.8053598000001,36214.6402,0.001,0.001
34,1265.24,-287.36009029163034,0.0,1192.4962496,36371.8752,0.002,0.001
35,1251.96,-278.51685463339146,0.0,1147.30554,34884.82,0.003,0.001
36,1262.4,-286.9836727982236,0.0,1117.4540448,36236.4888,0.004,0.001
37,1259.32,-288.95926738972986,0.0,1077.325896,36398.82080000001,0.005,0.001
38,1250.28,-284.94500660809837,0.02,1036.3706136000003,35651.5644,0.006,0.001
39,1258.04,-284.5955895346108,0.0,1007.3121800000001,35818.26,0.007000000000000001,0.001
40,1257.38,-284.02262495959656,0.02,971.5891216000001,35723.859800000006,0.008,0.001
41,1260.54,-287.9910480465531,0.0,933.6373938,36322.5118,0.009000000000000001,0.001
42,1257.44,-284.27620822496897,0.0,899.8950159999999,35754.498400000004,0.01,0.001
43,1245.04,-280.7846727862118,0.06,545.13164,34995.418000000005,0.02,0.001
44,1224.7,-272.7079508318868,0.1,219.48639400000008,33507.1202,0.03,0.001
45,1206.44,-261.48987431823565,0.76,-73.87977600000005,32007.994400000003,0.04,0.001
46,1161.88,-257.014988885886,0.74,-362.09944000000013,30479.588799999998,0.04999999999999999,0.001
47,1121.22,-230.80538999761518,1.46,-484.1448599999999,26756.080999999995,0.06,0.001
48,1073.1,-214.47544530269,3.34,-632.3942380000002,24364.2034,0.07,0.001
49,1017.56,-186.9070436615376,3.82,-628.168704,20571.6088,0.08,0.001
50,956.2,-153.38333780176993,6.8,-551.7185,16754.65,0.08999999999999998,0.001
51,940.3,-141.38912074337566,8.9,-570.83626,15111.3626,0.09999999999999998,0.001
52,752.5,-56.05692475735102,26.7,-111.94868000000002,4322.243400000001,0.19999999999999996,0.001
53,771.7,-39.23444199582129,34.82,-146.31086000000008,3060.0361999999996,0.30000000000000004,0.001
54,775.8,-23.580926408224176,46.98,31.04943999999997,1861.8764,0.3999999999999999,0.001
55,785.58,-10.990517098663581,57.56,346.35869999999994,878.4426000000001,0.5,0.001
56,781.18,-4.464074715650444,66.36,571.28764,349.82059999999996,0.6000000000000001,0.001
57,816.16,-3.5302441470950767,71.12,609.2357999999999,295.606,0.7000000000000002,0.001
58,818.78,-0.767326709929784,76.1,768.91552,62.330600000000004,0.7999999999999998,0.001
59,811.52,-0.2746736444554396,78.82,792.4540400000001,21.184399999999997,0.9,0.001
60,819.02,-0.10223679833144367,79.48,810.9934,8.0266,1.0,0.001
61,687.04,-0.005032290575368974,68.16,686.3503999999999,0.3448,2.0,0.001
62,379.76,-4.338548209852157,29.72,-244.59,124.86999999999998,5.0,0.001
63,348.18,-1.1540316474767538,31.12,57.418,29.0762,10.0,0.001
64,1257.74,-286.4895317178205,0.0,1257.74,36038.761,0.0,0.01
65,1255.82,-285.17648184780467,0.02,1219.9968718,35823.12819999999,0.001,0.01
66,1254.16,-283.9551272494146,0.0,1182.90146,35629.27,0.002,0.01
67,1251.98,-284.4281214189186,0.0,1145.1192025999999,35620.2658,0.003,0.01
68,1248.66,-283.38407550972886,0.0,1106.8622375999998,35449.440599999994,0.004,0.01
69,1255.08,-285.23620893215633,0.0,1076.040736,35807.8528,0.005,0.01
70,1253.56,-283.96748304935835,0.02,1039.8974344000003,35610.427599999995,0.006,0.01
71,1248.28,-282.7190083175727,0.0,1001.1529912000001,35303.8584,0.007000000000000001,0.01
72,1256.34,-283.195965736629,0.0,971.5748752,35595.6406,0.008,0.01
73,1255.3,-284.12924190569544,0.0,934.2267406000001,35674.8066,0.009000000000000001,0.01
74,1253.44,-285.4124021622354,0.0,895.578024,35786.1976,0.01,0.01
75,1252.6,-283.09606375745227,0.0,542.824656,35488.7672,0.02,0.01
76,1244.28,-278.92496032521393,0.28,197.83575600000003,34881.474799999996,0.03,0.01
77,1244.46,-280.4067925107916,0.0,-154.50268,34974.067,0.04,0.01
78,1223.66,-268.01604287061855,0.16,-421.9599500000001,32912.399,0.04999999999999999,0.01
79,1235.26,-279.9303456390011,0.08,-846.6149479999999,34697.9158,0.06,0.01
80,1208.72,-261.83805470242476,0.62,-1030.4794800000004,31988.564,0.07,0.01
81,1170.34,-252.14823724386935,0.5,-1205.7653600000003,29701.317000000003,0.08,0.01
82,1156.06,-244.30033779513676,1.12,-1426.5266659999998,28695.407399999996,0.08999999999999998,0.01
83,1146.5,-238.46236978033303,1.22,-1639.8018200000004,27863.0182,0.09999999999999998,0.01
84,930.78,-141.5096378109903,9.46,-2029.2502000000002,14800.151000000002,0.19999999999999996,0.01
