,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1254.6,-285.5981912144375,0.0,1254.6,35843.371999999996,0.0,0.0
1,1254.72,-286.5550109197661,0.0,1218.7592364,35960.763600000006,0.001,0.0
2,1258.08,-286.6098563996807,0.02,1185.9507248,36064.6376,0.002,0.0
3,1253.5,-284.83548371426747,0.0,1146.3746409999999,35708.453,0.003,0.0
4,1253.94,-282.3136062186669,0.0,1112.2991095999998,35410.2226,0.004,0.0
5,1256.36,-285.51280177735975,0.0,1076.915964,35888.807199999996,0.005,0.0
6,1258.2,-279.5857756532977,0.0,1047.1018776,35183.0204,0.006,0.0
7,1258.56,-282.6595026375019,0.04,1009.3948292000001,35595.0244,0.007000000000000001,0.0
8,1259.52,-284.46582436776515,0.0,972.7784831999999,35842.6896,0.008,0.0
9,1253.16,-283.3743266680127,0.0,933.56064,35511.04,0.009000000000000001,0.0
10,1250.44,-284.94089609462435,0.0,894.028476,35641.1524,0.01,0.0
11,1255.76,-284.71982558050945,0.0,540.390032,35768.4984,0.02,0.0
12,1249.38,-285.3102499302334,0.02,179.57731800000002,35660.0894,0.03,0.0
13,1254.18,-285.7465198644776,0.02,-180.34770400000005,35863.1926,0.04,0.0
14,1257.62,-283.7221600918374,0.0,-526.9050500000001,35690.501000000004,0.04999999999999999,0.0
15,1257.94,-286.9050934867655,0.0,-908.4018679999999,36105.697799999994,0.06,0.0
16,1245.88,-278.2446709573247,0.0,-1181.2515040000003,34673.307199999996,0.07,0.0
17,1259.7,-287.16713640407056,0.0,-1635.7835040000002,36193.54380000001,0.08,0.0
18,1251.56,-284.8696006872324,0.0,-1957.8982839999999,35660.6476,0.08999999999999998,0.0
19,1249.14,-280.18180902412774,0.02,-2254.5762600000003,35037.1626,0.09999999999999998,0.0
20,1222.96,-265.8764172055319,0.06,-5288.922560000001,32559.412800000002,0.19999999999999996,0.0
21,1088.32,-223.23307467419193,1.64,-6543.584720000001,25439.6824,0.30000000000000004,0.0
22,1072.38,-208.2169372093943,1.68,-8264.995120000001,23343.437800000003,0.3999999999999999,0.0
23,1021.08,-184.63656391245266,2.32,-9016.6402,20075.440400000003,0.5,0.0
24,962.4,-162.908176805775,3.1,-9368.653440000002,17218.4224,0.6000000000000001,0.0
25,927.82,-147.93358603648716,4.0,-9660.40394,15126.0342,0.7000000000000002,0.0
26,901.46,-142.59828541261368,3.62,-10540.78144,14302.8018,0.7999999999999998,0.0
27,873.52,-129.90417942625402,5.06,-10689.43304,12847.725599999998,0.9,0.0
28,896.28,-138.43042932289555,4.68,-13421.4632,14317.7432,1.0,0.0
29,572.82,-74.36380211453582,5.54,-8300.050799999999,4436.435399999999,2.0,0.0
30,393.1,-44.04047849892419,3.82,-9332.543,1945.1285999999996,5.0,0.0
31,248.72,-25.5100694839379,4.6,-7281.2,752.9919999999998,10.0,0.0
32,1246.1,-282.6856836800053,0.0,1246.1,35247.088599999995,0.0,0.001
33,1264.8,-289.7592876844737,0.0,1228.137546,36662.454,0.001,0.001
34,1256.56,-284.6440077500406,0.0,1185.007984,35776.008,0.002,0.001
35,1251.92,-283.6437747900001,0.0,1145.3072683999999,35537.5772,0.003,0.001
36,1258.08,-287.0650946220722,0.0,1113.539368,36135.157999999996,0.004,0.001
37,1254.4,-281.3598164649631,0.0,1077.911392,35297.721600000004,0.005,0.001
38,1254.66,-286.2137886072006,0.0,1039.137246,35920.459,0.006,0.001
39,1258.56,-287.3177388956845,0.0,1005.3394436,36174.3652,0.007000000000000001,0.001
40,1252.98,-286.069509613036,0.0,965.9393743999999,35880.078199999996,0.008,0.001
41,1257.2,-282.59946028334684,0.0,937.3626476000001,35537.4836,0.009000000000000001,0.001
42,1260.64,-283.8609621123527,0.0,902.6894000000002,35795.06,0.01,0.001
43,1258.44,-285.0502179168661,0.0,540.4561439999999,35899.192800000004,0.02,0.001
44,1250.58,-282.06809210095463,0.0,192.03157800000008,35284.9474,0.03,0.001
45,1256.14,-284.7576745193663,0.0,-175.36637600000003,35787.6594,0.04,0.001
46,1232.48,-272.7509120648136,0.18,-454.48384,33739.2768,0.04999999999999999,0.001
47,1227.84,-275.5564924537817,0.06,-810.2422559999999,33968.037599999996,0.06,0.001
48,1208.26,-268.52761608420076,0.16,-1077.525726,32654.081799999996,0.07,0.001
49,1216.44,-272.57520601725605,0.18,-1451.3294720000004,33347.11840000001,0.08,0.001
50,1189.98,-263.34524029433373,1.02,-1678.0955219999998,31867.5058,0.08999999999999998,0.001
51,1207.88,-266.65341792501147,0.62,-2064.86496,32727.4496,0.09999999999999998,0.001
52,1015.04,-194.85870860440863,2.76,-3259.65344,21373.467200000003,0.19999999999999996,0.001
53,897.28,-138.40713793237998,4.96,-3610.9250000000006,15027.350000000002,0.30000000000000004,0.001
54,907.94,-145.60880559366137,6.3,-5585.832879999999,16234.4322,0.3999999999999999,0.001
55,796.6,-93.92794932933828,12.36,-3927.9272,9449.0544,0.5,0.001
56,745.62,-79.69353270174571,13.3,-3362.3924400000005,6846.6874,0.6000000000000001,0.001
57,744.94,-81.3370704923204,14.24,-4055.6903800000005,6858.0434,0.7000000000000002,0.001
58,700.04,-68.88418711474442,10.88,-3622.9257599999996,5403.7072,0.7999999999999998,0.001
59,719.44,-74.54174018677152,16.46,-4619.8452800000005,5932.5392,0.9,0.001
60,684.94,-68.38533165857737,14.38,-4607.903399999999,5292.8434,1.0,0.001
61,597.78,-53.08034763783164,12.92,-6307.250800000001,3452.5154,2.0,0.001
62,286.64,-57.51532450657036,2.88,-9010.054,1859.3388,5.0,0.001
63,186.62,-40.78835351939297,2.16,-7385.657999999999,757.2277999999999,10.0,0.001
64,1258.18,-285.07425895074846,0.0,1258.18,35871.373400000004,0.0,0.01
65,1261.72,-284.21415921639505,0.0,1225.8533372,35866.662800000006,0.001,0.01
66,1259.08,-287.63116409342837,0.0,1186.6341456,36222.9272,0.002,0.01
67,1253.18,-285.6417499478767,0.0,1145.781209,35799.597,0.003,0.01
68,1260.28,-286.73495500245394,0.0,1115.7278032,36138.0492,0.004,0.01
69,1256.04,-287.48098346651403,0.0,1075.445618,36118.8764,0.005,0.01
70,1254.18,-282.1822774527731,0.0,1041.8120483999999,35394.6586,0.006,0.01
71,1253.72,-284.019064044647,0.02,1004.3283652000001,35627.3764,0.007000000000000001,0.01
72,1254.32,-283.1666353288429,0.0,970.0659584,35531.7552,0.008,0.01
73,1255.18,-286.1417221416637,0.0,931.8373077999998,35926.9658,0.009000000000000001,0.01
74,1247.74,-282.5002184681429,0.0,894.919402,35282.059799999995,0.01,0.01
75,1255.1,-285.96474205857425,0.0,537.0087159999999,35904.5642,0.02,0.01
76,1257.74,-284.43816181976655,0.0,184.08615800000007,35788.4614,0.03,0.01
77,1254.6,-285.2959745174834,0.0,-177.244048,35796.1012,0.04,0.01
78,1258.18,-286.4175816107323,0.0,-544.08421,36045.284199999995,0.04999999999999999,0.01
79,1250.2,-284.09666746983544,0.0,-881.295176,35524.9196,0.06,0.01
80,1254.9,-287.45593939426936,0.0,-1271.2090260000002,36087.271799999995,0.07,0.01
81,1244.8,-281.96920195036176,0.04,-1566.1864,35137.33,0.08,0.01
82,1248.92,-281.8740486583119,0.0,-1922.309092,35235.8788,0.08999999999999998,0.01
83,1237.18,-278.3558005255331,0.06,-2210.1470200000003,34473.2702,0.09999999999999998,0.01
84,1137.7,-249.8686222503415,0.34,-4618.938440000001,28783.192199999998,0.19999999999999996,0.01
85,847.72,-170.76817482167135,2.38,-3608.6276000000007,14854.492,0.30000000000000004,0.01
86,755.66,-139.96656292315657,5.36,-3607.6312799999996,10908.228199999998,0.3999999999999999,0.01
87,671.18,-114.50772672341984,5.22,-3319.7117,7981.783399999999,0.5,0.01
88,608.24,-98.72365201564553,4.6,-3117.9380800000004,6210.2968,0.6000000000000001,0.01
89,552.82,-82.55751132948963,4.82,-2774.8281,4753.783,0.7000000000000002,0.01
90,547.5,-81.13895712438554,5.2,-3134.24864,4602.1858,0.7999999999999998,0.01
91,522.06,-76.32913165483166,5.1,-3182.4507,4116.123,0.9,0.01
92,488.2,-68.0110740004436,5.96,-2890.8936000000003,3379.0936000000006,1.0,0.01
93,379.88,-49.50235884835921,5.76,-3413.7232,1896.8016,2.0,0.01
94,70.94,-2.290033469350486,3.78,-60.12099999999999,26.212199999999992,5.0,0.01
95,54.08,-0.4969165932314184,3.22,28.276,2.5803999999999996,10.0,0.01
96,1255.78,-281.5651201009746,0.02,1255.78,35373.7586,0.0,0.04999999999999999
97,1257.24,-285.3370239672823,0.0,1221.3618615999999,35878.1384,0.001,0.04999999999999999
98,1258.86,-285.3649388916169,0.0,1187.0029164,35928.5418,0.002,0.04999999999999999
99,1256.1,-287.30642570475095,0.0,1147.8104250000001,36096.525,0.003,0.04999999999999999
100,1258.0,-286.9071777857074,0.0,1113.590568,36102.358,0.004,0.04999999999999999
