,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1258.68,-281.4469490832684,0.0,1258.68,35418.4156,0.0,0.0
1,1263.42,-282.7644051951996,0.0,1227.6784734,35741.526600000005,0.001,0.0
2,1262.42,-275.09023163075386,0.0,1192.962742,34728.629,0.002,0.0
3,1262.68,-268.9576945269461,0.0,1160.8181752,33953.9416,0.003,0.0
4,1262.22,-270.767263411658,0.0,1125.4692984,34187.6754,0.004,0.0
5,1259.1,-272.22248411202884,0.0,1087.729673,34274.0654,0.005,0.0
6,1261.62,-274.3149705464551,0.0,1054.004706,34602.54899999999,0.006,0.0
7,1265.36,-270.1491168301274,0.0,1026.0624156000001,34185.3692,0.007000000000000001,0.0
8,1262.54,-269.9001355133648,0.0,990.0311184,34063.610199999996,0.008,0.0
9,1256.26,-280.8578640890426,0.0,938.6631237999999,35288.5418,0.009000000000000001,0.0
10,1265.58,-276.82237389075107,0.0,915.182974,35039.7026,0.01,0.0
11,1261.48,-278.9792177573541,0.0,557.586808,35194.6596,0.02,0.0
12,1256.44,-273.8388282039119,0.0,224.1307480000001,34410.3084,0.03,0.0
13,1260.7,-275.283875376057,0.0,-127.71324000000003,34710.331,0.04,0.0
14,1258.86,-274.9726601585368,0.02,-475.6111300000001,34689.42259999999,0.04999999999999999,0.0
15,1258.0,-279.07495957546973,0.02,-849.2949679999998,35121.582800000004,0.06,0.0
16,1259.62,-274.71569110477884,0.0,-1162.5657940000003,34602.6542,0.07,0.0
17,1262.26,-280.06443644044043,0.0,-1566.9092640000003,35364.6158,0.08,0.0
18,1265.3,-269.8133820603864,0.0,-1806.15799,34127.311,0.08999999999999998,0.0
19,1249.12,-273.7650553786644,0.06,-2184.6967999999997,34338.168,0.09999999999999998,0.0
20,1220.34,-256.3242392370141,0.28,-5087.1142,31537.271000000004,0.19999999999999996,0.0
21,1136.88,-203.45404556693734,0.64,-6027.023880000001,23879.679600000003,0.30000000000000004,0.0
22,1124.98,-202.9710797355985,0.98,-8219.208560000001,23360.47139999999,0.3999999999999999,0.0
23,1060.02,-186.7475710401932,1.16,-9135.0483,20390.1366,0.5,0.0
24,1046.8,-176.6432978833662,1.8,-10391.667200000002,19064.112,0.6000000000000001,0.0
25,1021.14,-171.6382751803877,2.4,-11797.95398,18312.991399999995,0.7000000000000002,0.0
26,989.3,-161.92446353058386,2.7,-12611.76736,17001.334199999998,0.7999999999999998,0.0
