utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,SI_beta,learning_beta,fairness_type,tag,env_name,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,split,learn_fairness,learn_utility,multi_head,phased_training,phase_length,observation_space
94.96,-70.94746298036499,0.0,7.333499999999995,1752.53,False,True,False,False,True,True,0,0.05,split_diff,warm0/past1,JobNoOccupyWarmStartSimple,0.0,1.0,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past1/Simple/split_diff/Joint/0.05/1709224767,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,7.123937499999995,1837.12125,False,True,False,False,True,True,0,0.05,split_diff,warm5/past1,JobNoOccupyWarmStartSimple,5.0,1.0,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past1/Simple/split_diff/Joint/0.05/1709224783,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.9,-71.61555906050124,0.0,10.287187499999995,1772.25625,False,True,False,False,True,True,0,0.05,split_diff,warm10/past1,JobNoOccupyWarmStartSimple,10.0,1.0,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past1/Simple/split_diff/Joint/0.05/1709224788,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
88.96,-65.86267991832032,0.0,7.851124999999995,1622.1775,False,True,False,False,True,True,0,0.05,split_diff,warm0/past0.9,JobNoOccupyWarmStartSimple,0.0,0.9,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past0.9/Simple/split_diff/Joint/0.05/1709226051,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,7.123937499999995,1837.12125,False,True,False,False,True,True,0,0.05,split_diff,warm5/past0.9,JobNoOccupyWarmStartSimple,5.0,0.9,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past0.9/Simple/split_diff/Joint/0.05/1709226066,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.96,-73.39950129494487,0.0,8.156249999999995,1816.075,False,True,False,False,True,True,0,0.05,split_diff,warm10/past0.9,JobNoOccupyWarmStartSimple,10.0,0.9,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past0.9/Simple/split_diff/Joint/0.05/1709226079,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.9,-74.13511253559477,0.0,7.239687499999995,1833.20625,False,True,False,False,True,True,0,0.05,split_diff,warm0/past0.5,JobNoOccupyWarmStartSimple,0.0,0.5,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past0.5/Simple/split_diff/Joint/0.05/1709228056,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,7.123937499999995,1837.12125,False,True,False,False,True,True,0,0.05,split_diff,warm5/past0.5,JobNoOccupyWarmStartSimple,5.0,0.5,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past0.5/Simple/split_diff/Joint/0.05/1709228100,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.94,-74.20470000121297,0.0,7.158187499999997,1835.63625,False,True,False,False,True,True,0,0.05,split_diff,warm10/past0.5,JobNoOccupyWarmStartSimple,10.0,0.5,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past0.5/Simple/split_diff/Joint/0.05/1709228132,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.5,-71.93888426487261,0.0,-78.73462500000001,1772.34625,False,True,False,False,True,True,0,0.1,split_diff,warm0/past1,JobNoOccupyWarmStartSimple,0.0,1.0,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past1/Simple/split_diff/Joint/0.1/1709229964,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
95.08,-20.39906646896356,0.24,45.881,491.99,False,True,False,False,True,True,0,0.1,split_diff,warm5/past1,JobNoOccupyWarmStartSimple,5.0,1.0,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past1/Simple/split_diff/Joint/0.1/1709229983,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
89.38,-20.53705194900135,0.0,43.271375,461.08625,False,True,False,False,True,True,0,0.1,split_diff,warm10/past1,JobNoOccupyWarmStartSimple,10.0,1.0,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past1/Simple/split_diff/Joint/0.1/1709230012,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
95.04,-70.96708643312128,0.0,-80.12375000000002,1751.6375,False,True,False,False,True,True,0,0.1,split_diff,warm0/past0.9,JobNoOccupyWarmStartSimple,0.0,0.9,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past0.9/Simple/split_diff/Joint/0.1/1709232289,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,-84.73212500000001,1837.12125,False,True,False,False,True,True,0,0.1,split_diff,warm5/past0.9,JobNoOccupyWarmStartSimple,5.0,0.9,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past0.9/Simple/split_diff/Joint/0.1/1709232329,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.2,-72.68228131016812,0.0,-80.61650000000002,1788.165,False,True,False,False,True,True,0,0.1,split_diff,warm10/past0.9,JobNoOccupyWarmStartSimple,10.0,0.9,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past0.9/Simple/split_diff/Joint/0.1/1709232400,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
94.94,-71.20470600356428,0.0,-81.05462500000002,1759.94625,False,True,False,False,True,True,0,0.1,split_diff,warm0/past0.5,JobNoOccupyWarmStartSimple,0.0,0.5,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past0.5/Simple/split_diff/Joint/0.1/1709234357,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,-84.73212500000001,1837.12125,False,True,False,False,True,True,0,0.1,split_diff,warm5/past0.5,JobNoOccupyWarmStartSimple,5.0,0.5,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past0.5/Simple/split_diff/Joint/0.1/1709234378,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,-84.73212500000001,1837.12125,False,True,False,False,True,True,0,0.1,split_diff,warm10/past0.5,JobNoOccupyWarmStartSimple,10.0,0.5,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past0.5/Simple/split_diff/Joint/0.1/1709234409,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
90.26,-33.00308623371017,0.34,-68.37975000000002,793.19875,False,True,False,False,True,True,0,0.2,split_diff,warm0/past1,JobNoOccupyWarmStartSimple,0.0,1.0,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past1/Simple/split_diff/Joint/0.2/1709235986,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
90.96,-6.980179753121067,6.1,59.600500000000004,156.7975,False,True,False,False,True,True,0,0.2,split_diff,warm5/past1,JobNoOccupyWarmStartSimple,5.0,1.0,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past1/Simple/split_diff/Joint/0.2/1709236027,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
93.06,-9.369690338518554,3.34,49.05125,220.04375,False,True,False,False,True,True,0,0.2,split_diff,warm10/past1,JobNoOccupyWarmStartSimple,10.0,1.0,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past1/Simple/split_diff/Joint/0.2/1709236102,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.52,-72.91556770840656,0.0,-260.7660000000001,1796.43,False,True,False,False,True,True,0,0.2,split_diff,warm0/past0.9,JobNoOccupyWarmStartSimple,0.0,0.9,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past0.9/Simple/split_diff/Joint/0.2/1709238633,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,-268.44425,1837.12125,False,True,False,False,True,True,0,0.2,split_diff,warm5/past0.9,JobNoOccupyWarmStartSimple,5.0,0.9,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past0.9/Simple/split_diff/Joint/0.2/1709238685,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
92.16,-69.1197000013347,0.0,-232.58700000000002,1623.735,False,True,False,False,True,True,0,0.2,split_diff,warm10/past0.9,JobNoOccupyWarmStartSimple,10.0,0.9,1000,100,False,JobNoOccupyWarmStartSimple/warm10/past0.9/Simple/split_diff/Joint/0.2/1709238746,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
95.66,-71.4683976032462,0.0,-254.87575,1752.67875,False,True,False,False,True,True,0,0.2,split_diff,warm0/past0.5,JobNoOccupyWarmStartSimple,0.0,0.5,1000,100,False,JobNoOccupyWarmStartSimple/warm0/past0.5/Simple/split_diff/Joint/0.2/1709240261,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.98,-74.23470000121247,0.0,-268.44425,1837.12125,False,True,False,False,True,True,0,0.2,split_diff,warm5/past0.5,JobNoOccupyWarmStartSimple,5.0,0.5,1000,100,False,JobNoOccupyWarmStartSimple/warm5/past0.5/Simple/split_diff/Joint/0.2/1709240283,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
