utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,SI_beta,learning_beta,fairness_type,tag,env_name,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,split,learn_fairness,learn_utility,multi_head,phased_training,phase_length,observation_space
98.98,-74.23470000121247,0.0,98.98,1837.12125,False,True,False,False,True,True,0,0.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/Joint/0.0/1707336611,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
98.88,-74.1597000012137,0.0,98.88,1833.3975,False,True,False,False,False,True,0,0.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/Joint/0.0/1707336619,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
98.44,-73.82970000121921,0.0,98.44,1817.25,False,True,False,False,True,True,0,0.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/MultiHead/0.0/1707336634,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['relative_job', 'grid', 'relative_util']"
96.56,-39.63971850577251,0.0,96.56,955.4125,False,True,False,False,False,True,0,0.0,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/MultiHead/0.0/1707336646,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
98.46,-55.3208692398368,0.0,30.277937499999997,1363.64125,False,True,False,False,True,True,0,0.05,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/Joint/0.05/1707338939,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
93.72,-54.67575624252988,0.02,28.19612499999999,1310.4775,False,True,False,False,False,True,0,0.05,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/Joint/0.05/1707339152,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
98.42,-73.81470000121948,0.0,7.593687499999994,1816.52625,False,True,False,False,True,True,0,0.05,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/MultiHead/0.05/1707339982,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['relative_job', 'grid', 'relative_util']"
97.88,-33.47000183216103,0.0,15.719749999999994,821.6025,False,True,False,False,True,True,0,0.1,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/Joint/0.1/1707341269,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
83.94,-61.53735343227308,0.0,17.140062499999996,1335.99875,False,True,False,False,False,True,0,0.05,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/MultiHead/0.05/1707340190,20,0.0003,250000,50,20,100,10,100,0.98,,,,True,True,True,True,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
95.94,-24.121525126857655,2.18,37.338125,586.01875,False,True,False,False,False,True,0,0.1,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy///split_diff/Joint/0.1/1707341686,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['loc', 'util', 'relative_job', 'relative_util', 'other_agents', 'grid', 'job']"
95.94,-6.969574203714115,8.66,62.44124999999999,167.49375,False,True,False,False,True,True,0,0.2,split_diff,,JobNoOccupy,10.0,0.995,1000,100,False,JobNoOccupy//Simple/split_diff/Joint/0.2/1707343599,20,0.0003,250000,50,20,100,10,100,0.98,,,,False,True,True,False,False,200,"['relative_job', 'grid', 'relative_util']"
