,utility,fairness,min_utility,objective,variance,beta,base_beta,,,,,,,
0,1244.18,-283.969601,0,890.745038,35343.4962,0.01,0.01,,,,,,,
1,1254.86,-289.2274537,0,528.82454,36301.773,0.02,0.02,,,,,,,
2,1139.2,-248.5617256,0.18,284.206972,28499.7676,0.03,0.03,,,,,,,
3,1151.3,-172.3425716,0.46,344.324216,20174.3946,0.04,0.04,,,,,,,
4,1102.42,-24.18245852,28.48,968.94283,2669.5434,0.05,0.05,,,,,,,
5,1149.86,-8.442573087,73.04,1052.72698,971.3302,0.1,0.1,,,,,,,
6,1117.12,-0.682884584,102.92,1101.8216,76.492,0.2,0.2,,,,,,,
7,1150.48,-0.464243723,103.92,1134.52252,53.1916,0.3,0.3,,,,,,,
8,1095.5,-0.012511397,108.36,1094.99496,1.2626,0.4,0.4,,,,,,,
9,1106.96,-0.167504873,105.64,1097.8574,18.2052,0.5,0.5,,,,,,,
10,1111,-0.008858984,109.88,1110.0272,0.9728,1,1,,,,,,,
11,903.18,-0.066258472,85.68,897.093942,6.0258,1.01,1.01,,,,,,,
12,821.38,-0.016701863,80.34,814.611,1.3538,5,5,,,,,,,
13,447.68,-0.04303606,42.78,429.584,1.8096,10,10,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,beta,Utility,Fairness,,,,,,,,,,
,,0.01,1244.18,283.969601,,,,,,,,,,
,,0.02,1254.86,289.2274537,,,,,,,,,,
,,0.03,1139.2,248.5617256,,,,,,,,,,
,,0.04,1151.3,172.3425716,,,,,,,,,,
,,0.05,1102.42,24.18245852,,,,,,,,,,
,,0.1,1149.86,8.442573087,,,,,,,,,,
,,0.2,1117.12,0.682884584,,,,,,,,,,
,,0.3,1150.48,0.464243723,,,,,,,,,,
,,0.4,1095.5,0.012511397,,,,,,,,,,
,,0.5,1106.96,0.167504873,,,,,,,,,,
,,1,1111,0.008858984,,,,,,,,,,
,,1.01,903.18,0.066258472,,,,,,,,,,
,,5,821.38,0.016701863,,,,,,,,,,
,,10,447.68,0.04303606,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Splitdiff,utility,Fairness,fairness,,,,,,,,,,
,,1254.6,285.5981912,-285.5981912,,,,,,,,,,
,,1259.04,286.7822433,-286.7822433,,,,,,,,,,
,,1256.2,282.8727462,-282.8727462,,,,,,,,,,
,,1164.14,252.7321941,-252.7321941,,,,,,,,,,
,,1132.64,235.8273328,-235.8273328,,,,,,,,,,
,,801.14,85.39289862,-85.39289862,,,,,,,,,,
,,737.38,26.11672381,-26.11672381,,,,,,,,,,
,,756.16,6.796841894,-6.796841894,,,,,,,,,,
,,728.5,1.705831841,-1.705831841,,,,,,,,,,
,,687.04,0.05731997,-0.05731997,,,,,,,,,,
,,742.82,0.002976064,-0.002976064,,,,,,,,,,
,,868.36,0.003796763,-0.003796763,,,,,,,,,,
,,,,,,,,,,,,,,
beta,Multihead,utility,Fairness,fairness,,,,,Joint util,Joint Fair,Split Util,Split Fair,MultiHead util,Multihead fair
0,,1234.34,264.8316562,-264.8316562,,,,0.01,1244.18,-283.969601,1254.6,-285.5981912,1234.34,-264.8316562
0.01,,1249.68,221.3448803,-221.3448803,,,,0.02,1254.86,-289.2274537,1259.04,-286.7822433,1249.68,-221.3448803
0.05,,1111.32,1.736378027,-1.736378027,,,,0.03,1139.2,-248.5617256,1256.2,-282.8727462,1111.32,-1.736378027
0.1,,1108.08,1.613623946,-1.613623946,,,,0.04,1151.3,-172.3425716,1164.14,-252.7321941,1108.08,-1.613623946
0.2,,1143.64,0.137416086,-0.137416086,,,,0.05,1102.42,-24.18245852,1132.64,-235.8273328,1143.64,-0.137416086
0.5,,1125.44,0.008547357,-0.008547357,,,,0.1,1149.86,-8.442573087,801.14,-85.39289862,1125.44,-0.008547357
0.7,,1105.32,0.043699731,-0.043699731,,,,0.2,1117.12,-0.682884584,737.38,-26.11672381,1105.32,-0.043699731
1,,1085.72,0.051903678,-0.051903678,,,,0.3,1150.48,-0.464243723,756.16,-6.796841894,1085.72,-0.051903678
2,,980.16,0.016321236,-0.016321236,,,,0.4,1095.5,-0.012511397,728.5,-1.705831841,980.16,-0.016321236
5,,759.4,0.038261025,-0.038261025,,,,0.5,1106.96,-0.167504873,687.04,-0.05731997,759.4,-0.038261025
10,,525.3,0.021131748,-0.021131748,,,,1,1111,-0.008858984,742.82,-0.002976064,525.3,-0.021131748
,,,,,,,,1.01,903.18,-0.066258472,868.36,-0.003796763,,
,,,,,,,,5,821.38,-0.016701863,,,,
,,,,,,,,10,447.68,-0.04303606,,,,
