utility,fairness,min_utility,objective,variance,greedy,training,reallocate,central_rewards,simple_obs,logging,SI_beta,learning_beta,fairness_type,tag,env_name,warm_start,past_discount,n_episode,max_steps,render,save_path,hidden_size,learning_rate,replay_buffer_size,model_update_freq,target_update_freq,model_save_freq,validation_freq,best_model_update_freq,GAMMA,model_loc,u_model_loc,f_model_loc,split,learn_fairness,learn_utility,multi_head,phased_training,phase_length,observation_space
100.0,-49.999900000199986,0.0,100.0,2500.0,False,True,False,False,False,True,0,0.0,split_diff,200,Simple,50.0,0.995,100,100,False,Simple/200//split_diff/Joint/0.0/1708638316,20,0.0003,250000,20,20,100,10,20,0.98,,,,False,True,True,False,False,200,"['agent_score', 'su', 'relative_su']"
100.0,-49.999900000199986,0.0,75.0,2500.0,False,True,False,False,False,True,0,0.01,split_diff,200,Simple,50.0,0.995,100,100,False,Simple/200//split_diff/Joint/0.01/1708638427,20,0.0003,250000,20,20,100,10,20,0.98,,,,False,True,True,False,False,200,"['agent_score', 'su', 'relative_su']"
74.72,-3.934853895559357,25.28,71.77439999999999,147.28,False,True,False,False,False,True,0,0.02,split_diff,200,Simple,50.0,0.995,100,100,False,Simple/200//split_diff/Joint/0.02/1708638535,20,0.0003,250000,20,20,100,10,20,0.98,,,,False,True,True,False,False,200,"['agent_score', 'su', 'relative_su']"
72.57,-2.1866517118172037,27.43,68.59431250000002,79.51375,False,True,False,False,False,True,0,0.05,split_diff,200,Simple,50.0,0.995,100,100,False,Simple/200//split_diff/Joint/0.05/1708638648,20,0.0003,250000,20,20,100,10,20,0.98,,,,False,True,True,False,False,200,"['agent_score', 'su', 'relative_su']"
69.71,-0.628046300558076,30.29,67.511125,21.98875,False,True,False,False,False,True,0,0.1,split_diff,200,Simple,50.0,0.995,100,100,False,Simple/200//split_diff/Joint/0.1/1708638759,20,0.0003,250000,20,20,100,10,20,0.98,,,,False,True,True,False,False,200,"['agent_score', 'su', 'relative_su']"
69.33,-0.4962587533551109,30.67,65.86975000000001,17.30125,False,True,False,False,False,True,0,0.2,split_diff,200,Simple,50.0,0.995,100,100,False,Simple/200//split_diff/Joint/0.2/1708638868,20,0.0003,250000,20,20,100,10,20,0.98,,,,False,True,True,False,False,200,"['agent_score', 'su', 'relative_su']"
67.44,-0.07226643710820646,32.42,66.20875,2.4625,False,True,False,False,False,True,0,0.5,split_diff,200,Simple,50.0,0.995,100,100,False,Simple/200//split_diff/Joint/0.5/1708638980,20,0.0003,250000,20,20,100,10,20,0.98,,,,False,True,True,False,False,200,"['agent_score', 'su', 'relative_su']"
66.98,-0.036623845961088905,32.51,65.7475,1.2325,False,True,False,False,False,True,0,1.0,split_diff,200,Simple,50.0,0.995,100,100,False,Simple/200//split_diff/Joint/1.0/1708639092,20,0.0003,250000,20,20,100,10,20,0.98,,,,False,True,True,False,False,200,"['agent_score', 'su', 'relative_su']"
66.92,-0.03857125780356148,32.52,64.32,1.3,False,True,False,False,False,True,0,2.0,split_diff,200,Simple,50.0,0.995,100,100,False,Simple/200//split_diff/Joint/2.0/1708639201,20,0.0003,250000,20,20,100,10,20,0.98,,,,False,True,True,False,False,200,"['agent_score', 'su', 'relative_su']"
66.96,-0.032335767915584915,32.61,61.51,1.09,False,True,False,False,False,True,0,5.0,split_diff,200,Simple,50.0,0.995,100,100,False,Simple/200//split_diff/Joint/5.0/1708639312,20,0.0003,250000,20,20,100,10,20,0.98,,,,False,True,True,False,False,200,"['agent_score', 'su', 'relative_su']"
