,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1254.8,-287.80106810450934,0.0,1254.8,36129.41,0.0,0.0
1,1236.0,-269.35338694139784,0.0,1202.528692,33471.308,0.0010000000000000002,0.0
2,1198.1,-247.129269453222,0.1,1137.521146,30289.427000000003,0.0020000000000000005,0.0
3,729.4,-95.89906537856291,1.0,692.7536299999999,7329.273999999999,0.004999999999999999,0.0
4,650.8,-67.79365170675007,2.0,606.0527199999999,4474.728000000001,0.009999999999999998,0.0
5,589.2,-27.052920022544875,8.3,555.7094400000001,1674.5279999999998,0.019999999999999997,0.0
6,690.4,-20.504307681533543,17.2,606.4898999999999,1678.202,0.05,0.0
7,398.4,-5.036628371795378,21.9,366.9176,314.82399999999996,0.1,0.0
8,73.7,-0.09089380095290435,6.1,73.5654,0.6729999999999999,0.2,0.0
9,45.2,-0.22971614909024823,3.1,44.69,1.02,0.5,0.0
10,40.0,-0.3840863594724613,2.2,38.459999999999994,1.5399999999999998,1.0,0.0
11,1268.6,-290.82439996559714,0.0,1268.6,36903.96800000001,0.0,0.0
12,1256.1,-288.3482927089972,0.0,1256.1,36245.738999999994,0.0,0.009999999999999998
13,1247.7,-286.6759682536581,0.0,1211.918295,35781.705,0.0010000000000000002,0.009999999999999998
14,1257.1,-287.15465876865244,0.0,1184.8838660000001,36108.067,0.0020000000000000005,0.009999999999999998
15,1260.2,-287.20142316762616,0.0,1079.17569,36204.862,0.004999999999999999,0.009999999999999998
16,1257.8,-284.4751789047756,0.0,899.85936,35794.064,0.009999999999999998,0.009999999999999998
17,1242.8,-273.14293892358677,0.0,561.59484,34060.258,0.019999999999999997,0.009999999999999998
18,836.7,-87.36817322471072,7.0,434.51075000000003,8043.784999999999,0.05,0.009999999999999998
19,795.7,-38.93804299763879,23.1,477.47749999999996,3182.2249999999995,0.1,0.009999999999999998
20,790.7,-7.974466653533428,64.9,655.7182,674.909,0.2,0.009999999999999998
21,355.6,-0.02676108844645763,34.1,355.126,0.9479999999999998,0.5,0.009999999999999998
22,313.2,-0.011830629309722649,30.3,312.828,0.372,1.0,0.009999999999999998
23,1263.6,-287.7741718426177,0.0,899.91418,36368.581999999995,0.009999999999999998,0.009999999999999998
24,1260.0,-289.8408072073909,0.0,1260.0,36529.93199999999,0.0,0.1
25,1239.7,-272.6734470505033,0.0,1205.847447,33852.553,0.0010000000000000002,0.1
26,1199.5,-256.524000654816,0.0,1136.8233380000001,31338.330999999995,0.0020000000000000005,0.1
27,931.2,-148.01262725050145,0.0,859.5258900000001,14334.822000000004,0.004999999999999999,0.1
28,769.4,-88.84590089534899,2.3,698.7816799999999,7061.832,0.009999999999999998,0.1
29,797.6,-64.30815672083062,1.3,688.9542,5432.290000000001,0.019999999999999997,0.1
30,703.3,-13.424503284842615,10.7,654.44095,977.1810000000002,0.05,0.1
31,665.6,-3.6111465268272305,42.9,640.7978,248.02200000000002,0.1,0.1
32,644.4,-0.12079310660038847,60.1,642.8284000000001,7.857999999999999,0.2,0.1
33,450.1,-0.06708711500272688,43.6,448.6245,2.9509999999999996,0.5,0.1
34,198.5,-0.05115137248976187,18.9,197.851,0.649,1.0,0.1
35,699.0,-4.3658794567995285,41.0,664.2316,347.6840000000001,0.1,0.1
36,1252.0,-286.6745763023926,0.0,1252.0,35901.768,0.0,0.29999999999999993
37,1236.5,-275.147491644069,0.0,1202.360767,34139.233,0.0010000000000000002,0.29999999999999993
38,1260.8,-288.4330104062316,0.0,1188.0384,36380.799999999996,0.0020000000000000005,0.29999999999999993
39,1244.4,-284.868156010109,0.0,1067.0100900000002,35477.982,0.004999999999999999,0.29999999999999993
40,1249.2,-278.59146231376724,0.0,900.88804,34831.195999999996,0.009999999999999998,0.29999999999999993
41,1088.6,-200.4919999301975,0.5,647.2183599999998,22069.082000000002,0.019999999999999997,0.29999999999999993
42,1002.4,-142.00718658141597,5.9,236.47729999999996,15318.453999999998,0.05,0.29999999999999993
43,826.9,-60.55774284996211,12.4,265.8598999999999,5610.401,0.1,0.29999999999999993
44,680.4,-2.964209788475409,54.0,640.892,197.54000000000002,0.2,0.29999999999999993
45,491.9,-0.14830696033498428,46.4,488.39549999999997,7.009,0.5,0.29999999999999993
46,314.2,-0.04673637376590638,29.8,312.75600000000003,1.444,1.0,0.29999999999999993
47,661.7,-0.10213868017704164,62.8,659.7485,6.505,0.29999999999999993,0.29999999999999993
48,1246.8,-285.16418017540366,0.0,1246.8,35562.704,0.0,0.5
49,1253.9,-288.180445218962,0.0,1217.760623,36139.37699999999,0.0010000000000000002,0.5
50,1220.7,-272.3322903011951,0.2,1153.265278,33717.361000000004,0.0020000000000000005,0.5
51,1256.5,-288.2917084913512,0.0,1075.304675,36239.065,0.004999999999999999,0.5
52,1263.7,-290.4036725687728,0.0,896.6598699999998,36704.01299999999,0.009999999999999998,0.5
53,1248.2,-286.64466381875997,0.0,532.3618799999999,35791.906,0.019999999999999997,0.5
54,1070.8,-201.74888288831875,1.2,-99.36139999999997,23403.227999999996,0.05,0.5
55,918.8,-154.2313125919076,2.7,-674.6827999999999,15934.828000000003,0.1,0.5
56,625.7,-63.90880997456266,7.7,-302.67220000000015,4641.861000000001,0.2,0.5
57,533.5,-15.188186947767587,30.2,124.11150000000002,818.777,0.5,0.5
58,347.3,-5.557735430303491,24.9,156.42100000000002,190.87899999999996,1.0,0.5
59,465.4,-18.780081513810636,25.7,-0.7209999999999923,932.242,0.5,0.5
60,1245.4,-285.19758408597204,0.0,1245.4,35525.538,0.0,0.5999999999999999
61,1258.5,-287.43505160869086,0.0,1222.318939,36181.061,0.0010000000000000002,0.5999999999999999
62,1263.8,-288.0376229143858,0.0,1190.9552440000002,36422.378000000004,0.0020000000000000005,0.5999999999999999
63,1258.5,-288.83739990004824,0.0,1076.687475,36362.50499999999,0.004999999999999999,0.5999999999999999
64,1271.1,-290.23402206678355,0.0,902.0053700000001,36909.463,0.009999999999999998,0.5999999999999999
65,1262.0,-286.79925428635306,0.0,537.92592,36203.704000000005,0.019999999999999997,0.5999999999999999
66,1172.7,-232.83314074957352,0.0,-203.75834999999995,27529.166999999998,0.05,0.5999999999999999
67,866.5,-86.98622783474283,8.1,4.257100000000025,8622.429,0.1,0.5999999999999999
68,710.7,-31.2222691808322,32.5,218.9786,2458.6069999999995,0.2,0.5999999999999999
69,741.5,-0.6595851880443205,67.8,718.9185,45.163000000000004,0.5,0.5999999999999999
70,737.3,-0.003322597547803799,73.0,737.0550000000001,0.24500000000000002,1.0,0.5999999999999999
71,785.3,-0.2635242058241686,75.6,774.083,18.694999999999997,0.5999999999999999,0.5999999999999999
72,1251.2,-286.7187166964661,0.0,1251.2,35881.346,0.0,0.7
73,1248.1,-284.1410623373555,0.0,1212.612447,35487.553,0.0010000000000000002,0.7
74,1259.4,-288.0211739247542,0.0,1186.8344160000001,36282.791999999994,0.0020000000000000005,0.7
75,1245.5,-285.1150984023102,0.0,1067.845245,35530.950999999994,0.004999999999999999,0.7
76,1255.5,-288.0143167785851,0.0,893.8099500000001,36169.005000000005,0.009999999999999998,0.7
77,1253.6,-286.41245380153646,0.0,535.4746,35906.27,0.019999999999999997,0.7
78,1077.4,-215.873388776001,0.1,-156.75160000000005,24683.032,0.05,0.7
79,1049.2,-194.17879490552758,0.2,-1007.0644,20562.643999999997,0.1,0.7
80,866.7,-142.89982917814115,6.4,-1820.8014000000003,13437.507000000001,0.2,0.7
81,668.0,-13.017789739748526,44.3,235.48899999999998,865.0219999999999,0.5,0.7
82,523.6,-0.31360135478517515,49.6,505.62399999999997,17.976,1.0,0.7
83,678.0,-5.151561357876108,56.0,439.75640000000004,340.34799999999996,0.7,0.7
84,1264.0,-289.588712720883,0.0,1264.0,36608.012,0.0,1.0
85,1258.0,-287.0925035953686,0.0,1221.876702,36123.297999999995,0.0010000000000000002,1.0
86,1255.7,-287.0613836404078,0.0,1183.5695300000002,36065.235,0.0020000000000000005,1.0
87,1255.3,-287.1520348516998,0.0,1074.9924350000001,36061.513,0.004999999999999999,1.0
88,1258.5,-281.5354779187511,0.0,903.89907,35460.093,0.009999999999999998,1.0
89,1258.2,-283.3818477347466,0.0,543.8370399999999,35718.148,0.019999999999999997,1.0
90,1148.1,-229.86630759611649,0.1,-210.77115000000003,27177.423,0.05,1.0
91,905.0,-115.96383887425716,1.3,-171.33280000000008,10763.328,0.1,1.0
92,776.3,-21.43115648434809,37.4,439.2934,1685.0330000000001,0.2,1.0
93,921.2,-11.236848053854896,58.5,392.111,1058.1779999999999,0.5,1.0
94,873.7,-0.765729376673867,79.3,808.4770000000001,65.223,1.0,1.0
95,792.7,-1.0040901217020601,71.6,716.443,76.25699999999999,1.0,1.0
