,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1252.92,-287.25203569721464,0.0,1252.92,36001.702,0.0,0.0
1,1237.7,-278.48008680457286,0.04,1203.0384506,34661.549399999996,0.001,0.0
2,1141.42,-233.42548576405224,0.1,1086.5047516,27457.6242,0.002,0.0
3,1033.24,-190.10502536690015,0.08,970.9837864000001,20752.0712,0.003,0.0
4,855.54,-132.18035193368618,0.5,809.0843767999999,11613.905799999999,0.004,0.0
5,781.78,-110.43642150834025,1.18,737.7524430000001,8805.5114,0.005,0.0
6,721.36,-96.52663931851214,1.36,678.8512863999999,7084.785599999999,0.006,0.0
7,701.04,-81.99765705555787,1.3,660.4985704000001,5791.6328,0.007000000000000001,0.0
8,666.76,-73.72877957455576,1.82,627.3033792,4932.0776,0.008,0.0
9,623.52,-69.54872037728192,2.38,584.4753791999999,4338.2912,0.009000000000000001,0.0
10,650.76,-65.23389178544707,2.44,608.47788,4228.212,0.01,0.0
11,616.58,-29.030146441856072,8.5,578.7556279999999,1891.2186,0.02,0.0
12,646.78,-24.773097153813016,15.96,596.16109,1687.297,0.03,0.0
13,691.78,-24.84379646260662,16.04,614.995976,1919.6006,0.04,0.0
14,680.82,-24.622351415683717,15.4,580.64765,2003.447,0.04999999999999999,0.0
15,635.7,-18.764164429978695,15.88,546.11742,1493.043,0.06,0.0
16,651.98,-17.833727342075264,16.0,548.189446,1482.7222,0.07,0.0
17,546.42,-12.971895228179548,19.2,469.07336000000004,966.8329999999999,0.08,0.0
18,509.92,-10.142072560619917,19.3,445.765192,712.8312,0.08999999999999998,0.0
19,401.84,-4.268426316371153,24.12,378.01631999999995,238.23680000000002,0.09999999999999998,0.0
20,74.2,-0.080531606453964,6.28,74.0804,0.598,0.19999999999999996,0.0
21,55.44,-0.13477250560400078,4.24,55.21716000000001,0.7428000000000001,0.30000000000000004,0.0
22,47.5,-0.2000126613438875,3.34,47.1212,0.9470000000000001,0.3999999999999999,0.0
23,45.86,-0.242284620733898,3.24,45.3065,1.107,0.5,0.0
24,41.84,-0.3126505062539345,2.7,41.06552000000001,1.2908,0.6000000000000001,0.0
25,42.72,-0.3300861251431265,2.68,41.74224,1.3968,0.7000000000000002,0.0
26,41.22,-0.3615406367949454,2.52,40.03488,1.4813999999999998,0.7999999999999998,0.0
27,41.36,-0.3946212435056972,2.48,39.890840000000004,1.6323999999999999,0.9,0.0
28,41.98,-0.41677510427068987,2.5,40.245000000000005,1.735,1.0,0.0
29,40.2,-0.5149585745331023,2.2,36.1136,2.0432,2.0,0.0
30,43.42,-0.5388597589478602,2.38,31.989,2.2862000000000005,5.0,0.0
31,42.92,-0.5572683433985947,2.28,19.484,2.3436,10.0,0.0
32,1253.44,-287.16952522294645,0.0,1253.44,36009.6128,0.0,0.01
33,1253.04,-287.3557757651538,0.0,1216.990048,36049.952000000005,0.001,0.01
34,1251.18,-286.6249269350975,0.0,1179.4400684000002,35869.9658,0.002,0.01
35,1253.76,-286.817189665604,0.0,1145.8358352,35974.721600000004,0.003,0.01
36,1257.7,-286.98480275033194,0.0,1113.2767464,36105.8134,0.004,0.01
37,1254.18,-286.43104926149323,0.0,1074.485929,35938.8142,0.005,0.01
38,1259.3,-285.4620611978634,0.0,1043.4449971999998,35975.8338,0.006,0.01
39,1255.38,-284.08381876764224,0.0,1005.5632874000001,35688.101800000004,0.007000000000000001,0.01
40,1257.86,-285.9744796076835,0.0,969.9633327999999,35987.0834,0.008,0.01
41,1266.46,-288.34761407116054,0.0,937.7126926,36527.4786,0.009000000000000001,0.01
42,1260.96,-286.3094591447557,0.0,899.8188039999998,36114.1196,0.01,0.01
43,1231.58,-269.82884009110614,0.06,561.87374,33485.313,0.02,0.01
44,1075.46,-202.64601374423182,0.44,378.08144599999997,23245.951799999995,0.03,0.01
45,927.74,-128.9182502950232,2.28,387.671768,13501.705800000002,0.04,0.01
46,852.74,-83.4703608854781,8.36,452.73703,8000.059400000001,0.04999999999999999,0.01
47,820.28,-51.42288199724454,14.5,542.230592,4634.1568,0.06,0.01
48,838.26,-52.735139433557926,21.66,496.37584200000003,4884.059399999999,0.07,0.01
49,813.58,-40.70964494008673,28.48,518.702032,3685.9746,0.08,0.01
50,816.16,-41.85911825188256,27.3,486.7605759999999,3659.9936,0.08999999999999998,0.01
