,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1254.0,-278.45783217078775,0.0,1254.0,34918.64,0.0,0.0
1,1272.0,-291.3654478931811,0.0,1234.93838,37061.62000000001,0.001,0.0
2,1240.5,-288.50625079528754,0.0,1168.91091,35794.545,0.002,0.0
3,1266.0,-291.21781776792227,0.0,1155.37731,36874.229999999996,0.003,0.0
4,1284.0,-290.6377279445269,0.0,1134.74388,37314.03,0.004,0.0
5,1227.0,-240.85954304740505,0.0,1079.3172,29536.56,0.005,0.0
6,1266.5,-293.00788983020783,0.0,1043.83457,37110.905,0.006,0.0
7,1254.5,-290.8910181651071,0.0,999.043225,36493.825,0.007,0.0
8,1260.5,-292.1583559827132,0.0,965.8861999999999,36826.725000000006,0.008,0.0
9,1258.5,-292.00472417091737,0.0,927.4797749999999,36780.02500000001,0.009000000000000001,0.0
10,1272.0,-288.0568592717025,0.0,905.5772999999999,36642.270000000004,0.01,0.0
11,1256.0,-290.53529017150754,0.0,525.9723999999999,36501.380000000005,0.02,0.0
12,1290.5,-264.0613800937713,0.0,268.6716500000001,34060.945,0.03,0.0
13,1274.5,-293.5165903579765,0.0,-222.65380000000005,37428.845,0.04,0.0
14,1056.0,-209.7353126553105,0.0,-65.02750000000015,22420.550000000003,0.05,0.0
15,1102.5,-223.6128373717537,1.5,-405.2595,25129.325,0.06,0.0
16,1227.5,-270.78078215396863,0.0,-1107.4385500000003,33356.265,0.07,0.0
17,1050.5,-197.7541796577023,1.0,-618.4907999999999,20862.385,0.08,0.0
18,1220.0,-255.33716338079006,0.0,-1585.6923999999997,31174.36,0.09,0.0
19,896.5,-139.0298272083583,9.5,-448.8325,13453.324999999999,0.1,0.0
20,808.5,-79.52348162467727,20.5,-548.1410000000001,6783.205,0.2,0.0
21,704.0,-84.93381827923184,8.5,-1129.9840000000004,6113.280000000001,0.30000000000000004,0.0
22,665.5,-43.065833163501075,24.0,-481.31799999999987,2867.0449999999996,0.4,0.0
23,633.5,-49.94588365487347,17.5,-945.3625,3157.725,0.5,0.0
24,544.5,-39.02658880234699,16.5,-730.5270000000002,2125.045,0.6000000000000001,0.0
25,636.5,-43.211084691667104,21.0,-1304.6875,2773.125,0.7000000000000001,0.0
26,572.0,-39.475255024054704,18.5,-1234.656,2258.3199999999997,0.8,0.0
27,623.0,-42.07252838202782,20.5,-1761.253,2649.17,0.9,0.0
28,569.5,-38.81902978261593,18.5,-1641.1250000000002,2210.625,1.0,0.0
29,500.0,-32.54497562997737,17.0,-2754.5199999999995,1627.2599999999998,2.0,0.0
30,535.5,-13.014357027639603,39.5,-2132.725,533.645,5.0,0.0
31,466.0,-0.029545355746985844,45.0,456.2,0.98,10.0,0.0
32,1285.0,-191.4063621068102,0.0,1285.0,24600.510000000002,0.0,0.001
33,1254.0,-187.86312758309623,0.0,1230.4395,23560.5,0.001,0.001
34,1270.5,-189.6549140998449,0.0,1222.30831,24095.845,0.002,0.001
35,1251.0,-185.23800277806612,0.0,1181.47701,23174.33,0.003,0.001
36,1266.0,-189.52129270723756,0.0,1170.00308,23999.23,0.004,0.001
37,1274.0,-235.19141901521147,0.0,1124.0926,29981.479999999996,0.005,0.001
38,1296.0,-239.51671134284095,0.0,1109.4334199999998,31094.43,0.006,0.001
39,1251.0,-187.19876019891078,0.0,1087.06945,23418.65,0.007,0.001
