,utility,fairness,min_utility,objective,variance,beta,base_beta
0,992.72,-150.60634668373558,1.16,992.72,16286.2968,0.0,0.0
1,1053.04,-170.09555444102708,0.6,1033.9810559999999,19058.944000000003,0.001,0.0
2,1024.3,-166.8510386469939,0.28,987.4564851999999,18421.7574,0.002,0.0
3,1066.4,-187.9227772851729,1.0,1002.5609144,21279.695199999995,0.003,0.0
4,980.48,-158.1654384832261,1.34,912.0807279999999,17099.818,0.004,0.0
5,981.44,-145.1981011264303,1.28,902.8203739999999,15723.9252,0.005,0.0
6,1027.42,-162.6330008214496,0.84,920.6529747999999,17794.5042,0.006,0.0
7,1064.88,-177.37030948648606,0.16,925.1012392,19968.394399999997,0.007000000000000001,0.0
8,1023.78,-169.36594503522068,1.12,873.1488879999998,18828.889,0.008,0.0
9,1003.74,-160.72637232184036,1.08,845.4996438,17582.2618,0.009000000000000001,0.0
10,1020.92,-170.57339264573744,0.74,834.364924,18655.5076,0.01,0.0
11,1042.76,-165.3958624103948,1.12,670.4060240000002,18617.6988,0.02,0.0
12,967.06,-152.5188734078363,1.0,476.60876200000007,16348.374600000003,0.03,0.0
13,1015.48,-164.79056935820984,1.4,259.32942399999996,18903.7644,0.04,0.0
14,1002.72,-161.0678056402263,1.94,105.22185999999998,17949.9628,0.04999999999999999,0.0
15,975.1,-133.8066293678547,1.72,95.15853999999997,14665.691,0.06,0.0
16,1008.1,-150.73070922797828,0.7,-174.83029400000004,16899.0042,0.07,0.0
17,958.72,-130.28533175739312,1.82,-131.66259200000005,13629.782400000002,0.08,0.0
18,852.04,-91.21411017612031,3.76,31.025800000000025,9122.38,0.08999999999999998,0.0
19,886.82,-103.47171610123823,2.64,-140.03862,10268.5862,0.09999999999999998,0.0
20,742.5,-44.47504425577416,6.22,11.131639999999958,3656.8418,0.19999999999999996,0.0
21,684.46,-30.361915941539017,12.28,-48.92594000000012,2444.6198,0.30000000000000004,0.0
22,626.28,-17.300760124552593,17.28,139.80879999999996,1216.178,0.3999999999999999,0.0
23,617.02,-10.145908811738098,28.1,292.58889999999997,648.8622,0.5,0.0
24,589.88,-9.611651900968903,27.4,221.2644799999999,614.3592000000001,0.6000000000000001,0.0
25,557.56,-4.837654634301406,34.64,372.00231999999994,265.0824,0.7000000000000002,0.0
26,562.56,-2.021468678317725,42.84,479.07775999999996,104.35279999999999,0.7999999999999998,0.0
27,513.42,-2.3912951816186663,40.7,411.84293999999994,112.8634,0.9,0.0
28,537.4,-0.7440774989427029,47.52,502.6748,34.7252,1.0,0.0
29,521.84,-0.0043564462874078665,51.62,521.424,0.20800000000000002,2.0,0.0
30,333.42,-0.08430658534726967,32.64,330.311,0.6217999999999999,5.0,0.0
31,244.76,-0.2333658177279835,23.2,226.20399999999998,1.8555999999999997,10.0,0.0
32,1224.06,-239.82916444149902,0.0,1224.06,29378.751000000004,0.0,0.001
33,1237.26,-244.44174502915146,0.0,1206.9911430000002,30268.857000000004,0.001,0.001
34,1228.26,-238.82130089100264,0.0,1169.5387188,29360.6406,0.002,0.001
35,1224.6,-238.17905973426497,0.0,1137.036816,29187.728000000003,0.003,0.001
36,1227.84,-239.69329045863108,0.0,1110.012872,29456.782000000003,0.004,0.001
37,1229.14,-239.14390994010483,0.02,1081.9663549999998,29434.729,0.005,0.001
38,1231.02,-240.82916038339334,0.02,1053.0424692000001,29662.921799999996,0.006,0.001
39,1227.6,-240.0704722201595,0.0,1021.1711396000001,29489.837199999998,0.007000000000000001,0.001
40,1223.36,-236.75035565996595,0.0,991.4959072,28983.0116,0.008,0.001
41,1231.88,-240.89917043073308,0.0,964.6481480000001,29692.428,0.009000000000000001,0.001
42,1230.5,-237.10382173751452,0.06,938.300306,29219.969400000005,0.01,0.001
43,1227.2,-236.77910673162287,0.02,645.7130719999999,29074.346400000002,0.02,0.001
44,1237.06,-243.03950167349456,0.0,334.59761800000007,30082.079399999995,0.03,0.001
45,1236.8,-238.9166345366037,0.0,54.077839999999966,29568.054,0.04,0.001
46,1230.36,-236.53038324303182,0.0,-225.62176000000017,29119.635200000004,0.04999999999999999,0.001
47,1234.86,-238.12497877463565,0.0,-530.940492,29430.008199999997,0.06,0.001
48,1227.58,-236.04406417999698,0.0,-802.6174420000003,29002.820599999995,0.07,0.001
