,utility,fairness,min_utility,objective,variance,beta,base_beta
0,1198.92,-194.53618006062334,5.16,1198.92,23806.711599999995,0.0,0.0
1,1203.22,-202.97030833413461,4.4,1178.3032786,24916.721399999995,0.001,0.0
2,1196.96,-202.17421369378653,3.94,1147.5613584000002,24699.3208,0.002,0.0
3,1213.18,-220.85070490695747,1.58,1131.9211498,27086.283400000004,0.003,0.0
4,1218.58,-209.17380884217485,3.92,1115.2552616,25831.184600000004,0.004,0.0
5,1194.66,-198.2803616415861,3.76,1072.8015970000001,24371.6806,0.005,0.0
6,1204.42,-199.23295988637753,3.04,1058.20633,24368.945,0.006,0.0
7,1206.38,-203.4602626001431,4.58,1030.8191222,25080.1254,0.007000000000000001,0.0
8,1215.5,-208.71557533749626,3.96,1009.2014416000001,25787.3198,0.008,0.0
9,1196.4,-190.90329023497097,5.96,985.0045584,23488.382400000002,0.009000000000000001,0.0
10,1202.64,-207.5309298732192,2.06,947.64158,25499.841999999997,0.01,0.0
11,1211.1,-197.8213339593258,3.44,725.39646,24285.176999999992,0.02,0.0
12,1185.72,-194.99675499593326,5.16,471.36805200000003,23811.731600000003,0.03,0.0
13,1202.58,-198.95623082227254,4.02,223.81069599999995,24469.2326,0.04,0.0
14,1205.04,-217.0055434178481,1.22,-114.45060000000005,26389.812,0.04999999999999999,0.0
15,1205.92,-203.61863698209564,3.72,-297.621704,25059.028400000003,0.06,0.0
16,1196.42,-210.91155027147045,2.42,-612.9811180000002,25848.587400000004,0.07,0.0
17,1183.38,-194.28640258885912,2.26,-707.1046560000001,23631.058200000003,0.08,0.0
18,1194.26,-191.04255621239017,4.28,-917.5431819999998,23464.479800000005,0.08999999999999998,0.0
19,1182.24,-188.98332392374465,5.86,-1111.9434800000001,22941.8348,0.09999999999999998,0.0
20,1144.58,-188.70353879748237,2.58,-3400.4819600000005,22725.309800000003,0.19999999999999996,0.0
21,1019.44,-143.1976364743843,3.2,-3665.568560000001,15616.6952,0.30000000000000004,0.0
22,958.92,-130.67864545030181,3.52,-4387.479520000001,13365.9988,0.3999999999999999,0.0
23,874.64,-112.46259410982259,4.42,-4445.0894,10639.458799999999,0.5,0.0
24,775.64,-94.20131307888079,4.24,-3888.0200800000007,7772.7668,0.6000000000000001,0.0
25,682.74,-82.65583421872758,7.08,-3385.070460000001,5811.1578,0.7000000000000002,0.0
26,634.46,-74.84134252646759,6.66,-3436.1958400000003,5088.3198,0.7999999999999998,0.0
27,595.84,-72.47187730915684,5.54,-3543.35756,4599.1084,0.9,0.0
28,558.38,-67.56071976470972,6.34,-3432.4626000000003,3990.8426,1.0,0.0
29,310.5,-44.346599680725724,7.06,-2482.1108,1396.3053999999997,2.0,0.0
30,200.54,-25.094487040976208,5.86,-2586.847,557.4774,5.0,0.0
31,199.2,-29.276066007382624,4.1,-6922.624,712.1824000000001,10.0,0.0
32,1239.18,-239.96191065638638,0.0,1239.18,29756.429,0.0,0.001
33,1229.94,-234.58838275779257,0.0,1201.0244222,28915.577800000003,0.001,0.001
34,1232.5,-237.22590585660183,0.0,1173.9809916000002,29259.5042,0.002,0.001
35,1232.06,-234.92646381176633,0.0,1144.8474038,29070.865400000006,0.003,0.001
36,1233.7,-241.5516544285192,0.0,1114.3877736,29828.056599999996,0.004,0.001
37,1228.66,-238.34968315791642,0.0,1082.0388030000001,29324.2394,0.005,0.001
38,1233.78,-239.27925136314735,0.0,1056.5371043999999,29540.4826,0.006,0.001
39,1235.16,-239.34803635958633,0.02,1027.9135816,29606.631199999996,0.007000000000000001,0.001
40,1235.5,-238.06150160421964,0.0,1000.0784080000001,29427.699,0.008,0.001
41,1229.48,-235.85256192887314,0.0,968.3397764000001,29015.5804,0.009000000000000001,0.001
42,1236.8,-239.4435824437512,0.02,939.8759679999998,29692.403199999997,0.01,0.001
43,1241.1,-239.4035221520725,0.0,646.598436,29725.078200000004,0.02,0.001
44,1226.8,-235.80370813088982,0.0,358.08486400000004,28957.171199999997,0.03,0.001
45,1231.74,-236.84948207139016,0.0,63.787783999999945,29198.805399999997,0.04,0.001
46,1225.66,-237.12496447949263,0.04,-233.28547000000015,29178.9094,0.04999999999999999,0.001
47,1236.3,-240.37009390003223,0.0,-547.8618839999998,29736.0314,0.06,0.001
48,1231.1,-239.85839673085766,0.0,-837.2792220000001,29548.274600000004,0.07,0.001
49,1224.52,-237.50673700628067,0.0,-1104.2792960000002,29109.991199999993,0.08,0.001
50,1233.6,-237.85493134996833,0.0,-1408.3460039999998,29354.9556,0.08999999999999998,0.001
51,1227.26,-236.1115718919815,0.1,-1679.9247800000003,29071.8478,0.09999999999999998,0.001
52,1221.74,-235.8329378603499,0.0,-4546.450280000001,28840.9514,0.19999999999999996,0.001
53,1219.96,-230.9548747302948,0.0,-7259.712080000002,28265.5736,0.30000000000000004,0.001
54,1213.84,-225.88122118045106,0.0,-9800.19024,27535.075600000004,0.3999999999999999,0.001
55,1189.44,-220.0027321871547,0.08,-11957.524599999999,26293.9292,0.5,0.001
56,1156.38,-208.28838112169723,0.06,-13523.450520000002,24466.3842,0.6000000000000001,0.001
57,1122.18,-205.86874315848138,0.08,-15131.411340000002,23219.4162,0.7000000000000002,0.001
58,1063.54,-194.0442890217185,0.08,-15577.29664,20801.0458,0.7999999999999998,0.001
59,1036.38,-186.72835963044724,0.32,-16552.75614,19543.484599999996,0.9,0.001
60,981.62,-179.39575327580067,0.62,-16947.0238,17928.643799999998,1.0,0.001
61,354.64,-54.71758827632224,5.2,-4614.6256,2484.6328000000003,2.0,0.001
62,117.18,-11.057985237443836,3.48,-923.329,208.1018,5.0,0.001
63,93.54,-7.605194874405323,3.24,-968.818,106.2358,10.0,0.001
64,1106.8,-185.61633734820356,3.28,1106.8,21341.11,0.0,0.01
65,1149.58,-203.28851622783822,2.16,1125.705801,23874.199,0.001,0.01
66,1141.28,-203.67918211618874,0.9,1094.1897056000003,23545.147199999996,0.002,0.01
67,1142.24,-203.7067393495672,1.18,1071.0820076,23719.3308,0.003,0.01
68,1137.32,-200.32938107529898,1.06,1044.4578287999998,23215.542800000003,0.004,0.01
69,1115.42,-196.24929864882327,1.12,1002.222903,22639.4194,0.005,0.01
70,1130.88,-193.3869172584521,0.9,997.4883551999999,22231.9408,0.006,0.01
71,1123.26,-190.68362397444383,1.8,970.1201726,21877.118199999997,0.007000000000000001,0.01
72,1142.2,-203.65773914289133,1.48,953.3705024,23603.687199999997,0.008,0.01
73,1134.38,-205.40849729910778,1.4,919.9666046,23823.710600000002,0.009000000000000001,0.01
74,1111.92,-194.60426076450597,1.2,890.5061840000001,22141.3816,0.01,0.01
75,1100.18,-183.4750530061484,2.16,682.8720680000001,20865.396599999996,0.02,0.01
76,1119.0,-194.553910017377,1.22,459.50822400000004,21983.059199999996,0.03,0.01
77,1116.58,-197.73021496579182,1.88,212.897992,22592.050199999994,0.04,0.01
78,1095.44,-186.1121034526526,1.36,36.62991999999989,21176.2016,0.04999999999999999,0.01
79,1070.84,-184.08821963577287,2.26,-147.72944799999993,20309.4908,0.06,0.01
80,1055.36,-178.24639276945652,1.9,-326.5214800000001,19741.164,0.07,0.01
81,1088.36,-187.50571198384384,1.16,-582.006016,20879.5752,0.08,0.01
82,1076.3,-185.33092362278708,1.44,-771.4690659999999,20530.767399999997,0.08999999999999998,0.01
83,1069.38,-180.3451516761014,2.04,-927.3803,19967.603,0.09999999999999998,0.01
84,890.64,-135.30516095863436,3.26,-1700.92472,12957.823599999998,0.19999999999999996,0.01
85,790.3,-115.44693260343813,3.28,-2108.1723800000004,9661.5746,0.30000000000000004,0.01
86,642.24,-95.47686924865543,3.98,-2171.5369600000004,7034.4424,0.3999999999999999,0.01
87,560.66,-81.28005582501885,4.4,-2173.4254999999994,5468.170999999999,0.5,0.01
88,395.64,-56.73158922678152,4.18,-1573.7510399999999,3282.318400000001,0.6000000000000001,0.01
89,301.44,-41.002083851618636,4.22,-1156.91144,2083.3592000000003,0.7000000000000002,0.01
90,170.96,-22.435943082243835,4.16,-713.8528,1106.0160000000003,0.7999999999999998,0.01
91,67.22,-2.7952837595792523,3.8,-47.33074,127.27859999999998,0.9,0.01
92,71.12,-6.6056757658287655,3.9,-231.08239999999998,302.20239999999995,1.0,0.01
93,44.6,-0.1426575444478353,3.28,43.283199999999994,0.6584,2.0,0.01
94,59.28,-0.5003346838811665,3.5,44.534000000000006,2.9492000000000003,5.0,0.01
95,65.36,-0.6527500165706748,3.8,19.220000000000002,4.614000000000001,10.0,0.01
96,1102.28,-174.01822273536732,1.82,1102.28,19899.5228,0.0,0.04999999999999999
97,1114.16,-180.62137116104464,1.12,1093.5351296000001,20624.8704,0.001,0.04999999999999999
98,1110.84,-186.71982470986882,1.7,1068.1520584,21343.9708,0.002,0.04999999999999999
99,1113.38,-183.73291574170833,1.02,1050.2668346,21037.721799999996,0.003,0.04999999999999999
100,1116.94,-182.04410289004198,1.44,1033.3712936000002,20892.176600000003,0.004,0.04999999999999999
101,1146.24,-198.90387830072308,0.76,1031.006318,23046.7364,0.005,0.04999999999999999
102,1076.1,-174.9796025295771,2.0,958.1453388,19659.1102,0.006,0.04999999999999999
103,1129.6,-192.27371032898736,0.8,975.7654212000001,21976.3684,0.007000000000000001,0.04999999999999999
104,1115.54,-182.2841211256776,0.82,949.289208,20781.349000000002,0.008,0.04999999999999999
105,1135.14,-186.40797975105554,0.76,940.700139,21604.429,0.009000000000000001,0.04999999999999999
106,1131.04,-189.71022856567322,0.42,913.9496,21709.04,0.01,0.04999999999999999
107,1118.32,-182.6551402576644,0.38,701.6188800000001,20835.056,0.02,0.04999999999999999
108,1128.7,-188.07014877927955,0.5,483.606646,21503.1118,0.03,0.04999999999999999
109,1091.28,-175.90020588566182,1.32,300.30305599999997,19774.423600000002,0.04,0.04999999999999999
110,1084.2,-168.80604201853927,1.8,135.78789999999992,18968.242,0.04999999999999999,0.04999999999999999
111,1068.32,-168.24104876217956,1.06,-44.171727999999966,18541.5288,0.06,0.04999999999999999
112,1064.04,-168.90601843631677,1.56,-241.47604400000017,18650.229199999998,0.07,0.04999999999999999
113,1062.12,-172.3983026729897,1.42,-457.620096,18996.751200000002,0.08,0.04999999999999999
114,1066.52,-174.51679069388643,0.98,-646.7768080000001,19036.6312,0.08999999999999998,0.04999999999999999
115,1053.44,-175.0159867063005,0.24,-832.7342000000001,18861.742,0.09999999999999998,0.04999999999999999
116,971.08,-145.1587069347878,0.62,-1942.77744,14569.287200000002,0.19999999999999996,0.04999999999999999
117,949.52,-141.58013850506057,0.88,-3268.845400000001,14061.217999999999,0.30000000000000004,0.04999999999999999
118,830.58,-117.56900365291852,1.4,-3330.30712,10402.2178,0.3999999999999999,0.04999999999999999
119,790.18,-108.17791285035639,1.34,-3661.4710999999998,8903.3022,0.5,0.04999999999999999
120,776.04,-105.56073366655261,1.48,-4315.362000000001,8485.670000000002,0.6000000000000001,0.04999999999999999
121,666.62,-91.00347016689722,2.8,-3802.0244600000005,6383.7778,0.7000000000000002,0.04999999999999999
122,619.88,-84.01006740722342,2.72,-3832.4521600000007,5565.4152,0.7999999999999998,0.04999999999999999
123,504.82,-67.39317416758472,5.22,-3110.2695800000006,4016.7662,0.9,0.04999999999999999
124,467.0,-62.499887044977456,5.06,-2929.3056,3396.3056,1.0,0.04999999999999999
125,180.96,-20.432931734088875,7.46,-921.5831999999999,551.2715999999999,2.0,0.04999999999999999
126,128.84,-0.7145869485196111,10.0,75.368,10.694399999999998,5.0,0.04999999999999999
127,127.92,-0.4088290024700391,9.98,75.116,5.280399999999999,10.0,0.04999999999999999
128,1124.86,-221.6027923077757,0.96,1124.86,26127.030600000002,0.0,0.09999999999999998
129,1101.62,-207.0600164146446,0.96,1077.737171,23882.828999999994,0.001,0.09999999999999998
130,1108.94,-205.52765026849272,1.2,1061.1812108000001,23879.3946,0.002,0.09999999999999998
131,1103.56,-206.1389656612384,0.9,1031.9098744,23883.3752,0.003,0.09999999999999998
